DateTime,AddedIPs,RemovedIPs
1548911150,3,1
1548914762,2,2
1548918356,2,2
1548921950,0,2
1548925559,4,3
1548929144,3,1
1548932745,2,1
1548936347,0,1
1548939937,4,5
1548943549,2,3
1548947155,0,2
1548950755,4,1
1548954349,2,2
1548957943,3,1
1548961546,1,3
1548965156,3,1
1548968755,2,2
1548972362,1,1
1548975950,2,0
1548979584,1,3
1548983174,1,1
1548986755,2,2
1548990342,1,0
1548993953,0,1
1548997549,2,0
1549001151,2,2
1549004745,1,2
1549008350,0,2
1549011941,1,2
1549015548,2,1
1549019145,3,1
1549022743,3,3
1549026358,2,2
1549029955,4,1
1549033556,1,2
1549037151,1,2
1549040747,4,1
1549044340,3,0
1549047956,0,3
1549051553,0,3
1549055165,2,4
1549058760,2,3
1549062355,5,3
1549065968,1,0
1549069562,3,1
1549073157,0,1
1549076752,1,0
1549080337,1,1
1549083952,0,3
1549087545,5,1
1549101971,1,0
1549105541,0,1
1549112750,1,2
1549116353,2,2
1549119944,1,2
1549123558,2,1
1549127154,1,1
1549130743,2,2
1549134358,1,1
1549141554,2,3
1549145147,0,3
1549148749,0,1
1549152377,2,0
1549155941,2,0
1549163143,0,3
1549166755,2,1
1549170341,2,2
1549173961,2,0
1549177545,1,1
1549181141,0,2
1549184743,2,4
1549188347,1,0
1549191935,1,0
1549195536,1,2
1549199143,3,0
1549209944,2,2
1549213545,1,0
1549217133,2,1
1549220738,1,2
1549224343,0,2
1549227936,1,0
1549231546,1,3
1549235144,4,0
1549238781,1,1
1549245947,0,2
1549249563,0,2
1549253158,2,0
1549256744,2,4
1549263954,2,4
1549267546,2,1
1549271149,1,1
1549274745,3,1
1549278344,1,1
1549281946,2,2
1549285548,2,2
1549289150,1,1
1549292748,2,2
1549296342,1,1
1549299945,1,0
1549303551,1,2
1549307150,5,1
1549310732,0,2
1549314347,0,1
1549317936,0,4
1549321541,4,0
1549325154,1,3
1549328769,4,6
1549332352,0,2
1549335948,6,7
1549339545,5,1
1549343165,3,3
1549346740,4,1
1549350351,1,0
1549353953,2,2
1549357551,1,2
1549361135,1,1
1549364734,2,3
1549368347,1,4
1549371948,4,0
1549375543,2,1
1549379133,1,0
1549382749,1,0
1549389944,1,4
1549393541,2,3
1549397144,3,1
1549400751,0,1
1549404342,1,0
1549407944,3,2
1549411586,3,3
1549415140,2,0
1549418758,1,1
1549422350,2,6
1549425962,2,4
1549429554,2,2
1549433157,3,0
1549436748,1,2
1549440350,1,0
1549443951,1,2
1549451148,4,0
1549454748,0,4
1549458353,3,4
1549461946,1,0
1549465557,3,2
1549469137,1,0
1549472743,1,1
1549476340,1,2
1549479937,1,2
1549483547,0,4
1549487160,3,0
1549490752,1,1
1549494340,1,0
1549497983,1,3
1549501561,3,1
1549505151,0,1
1549508762,1,0
1549512356,1,1
1549515953,1,1
1549519542,2,0
1549523144,0,2
1549530347,1,0
1549537553,0,1
1549541153,1,0
1549544745,1,3
1549548339,0,1
1549551947,2,5
1549555550,3,1
1549559155,4,0
1549562742,0,2
1549566341,2,0
1549569937,1,1
1549573548,1,1
1549577139,1,1
1549580748,1,2
1549584384,2,0
1549587948,1,0
1549591565,1,1
1549595145,2,1
1549598747,4,1
1549602349,1,1
1549605958,0,2
1549609549,1,2
1549613152,1,0
1549616740,1,2
1549620360,1,1
1549623949,3,3
1549627558,3,1
1549631153,1,1
1549634751,1,2
1549638353,1,3
1549641946,1,1
1549652748,1,1
1549656347,4,2
1549659958,1,2
1549663552,0,1
1549667154,2,2
1549670772,2,1
1549674354,2,1
1549677961,1,0
1549681557,1,1
1549685148,3,1
1549688757,0,1
1549692357,1,1
1549695948,0,1
1549699556,1,3
1549703147,0,1
1549706741,0,2
1549710345,2,3
1549713949,1,0
1549717549,2,1
1549721141,2,0
1549724749,1,3
1549728357,2,1
1549731948,2,2
1549735557,4,3
1549739142,3,1
1549742749,1,4
1549746341,2,2
1549749948,3,2
1549753553,0,2
1549757171,1,0
1549760735,2,4
1549764354,1,2
1549767948,1,2
1549771554,4,1
1549775157,3,1
1549778747,0,1
1549782360,1,0
1549789547,0,2
1549793156,2,0
1549796753,3,1
1549800345,0,1
1549803940,1,0
1549807560,0,4
1549811148,0,1
1549814734,3,0
1549818350,1,1
1549821958,2,1
1549825548,0,4
1549829140,2,2
1549832749,2,0
1549836354,0,1
1549839941,2,2
1549847162,2,0
1549850756,1,0
1549854359,1,1
1549857961,1,2
1549861560,3,0
1549865151,2,3
1549868756,1,4
1549875954,1,1
1549879553,2,2
1549883153,2,0
1549886748,1,3
1549890352,1,1
1549893954,1,1
1549897548,2,3
1549901157,1,2
1549904749,1,2
1549908352,4,0
1549911943,0,2
1549915545,0,1
1549919155,1,1
1549922752,1,0
1549929973,1,0
1549933554,1,0
1549937161,0,1
1549940771,1,1
1549944354,3,0
1549947956,1,3
1549951551,2,1
1549955155,1,1
1549958759,1,3
1549962350,3,0
1549965955,0,3
1549969539,1,1
1549973153,2,1
1549976732,1,0
1549980361,3,1
1549983953,1,3
1549994753,0,1
1549998352,1,1
1550001951,2,2
1550005538,1,2
1550009138,0,1
1550012756,2,2
1550019960,0,3
1550023547,4,2
1550027169,2,3
1550030747,4,1
1550034352,2,3
1550037950,2,1
1550041549,1,1
1550045151,3,0
1550048737,0,3
1550052360,2,0
1550059538,3,3
1550063147,2,4
1550066756,3,0
1550070348,1,2
1550073946,2,2
1550077547,1,0
1550081155,0,2
1550084745,1,1
1550088338,2,2
1550091949,1,1
1550095542,0,6
1550099144,2,1
1550102783,3,1
1550106343,0,2
1550109947,3,2
1550113552,1,1
1550117155,3,0
1550120753,0,2
1550124347,3,2
1550127950,2,2
1550131550,2,0
1550135151,1,3
1550138766,1,4
1550142352,2,2
1550145944,0,1
1550149555,2,2
1550153152,3,0
1550156750,0,3
1550160348,3,2
1550163965,3,1
1550167555,2,1
1550171144,1,1
1550174744,0,2
1550181948,1,2
1550185549,1,2
1550189175,0,1
1550196356,2,1
1550199953,1,1
1550203544,3,4
1550207160,1,2
1550210734,4,1
1550214351,1,1
1550217953,1,3
1550221546,3,2
1550225152,4,0
1550228747,1,3
1550232344,1,1
1550235949,1,3
1550239540,1,1
1550243148,1,2
1550246745,2,0
1550250349,1,3
1550253936,2,0
1550257547,0,1
1550261148,0,1
1550264745,2,0
1550268344,2,2
1550271940,1,0
1550275585,1,0
1550279156,0,1
1550282741,0,1
1550286352,3,3
1550289948,2,1
1550293548,0,2
1550297146,1,1
1550300736,1,0
1550304336,1,1
1550307937,0,2
1550311541,1,3
1550315140,4,0
1550318743,0,2
1550322339,1,0
1550325949,1,2
1550329535,2,1
1550333142,2,1
1550336742,1,2
1550340336,1,2
1550343933,2,5
1550347532,4,1
1550351142,1,1
1550354738,0,4
1550358331,1,1
1550361985,3,0
1550365551,1,1
1550369148,2,0
1550372736,1,1
1550376347,0,1
1550379945,1,0
1550383541,1,1
1550387157,1,2
1550390744,3,0
1550397943,1,2
1550401535,0,2
1550405140,1,3
1550408743,1,1
1550412343,2,1
1550415947,5,1
1550419546,2,1
1550423140,1,1
1550426737,0,1
1550433936,1,4
1550437544,1,1
1550441141,4,0
1550448384,0,5
1550451943,2,1
1550455551,0,4
1550459152,6,0
1550462748,4,3
1550466363,1,1
1550469951,2,1
1550473553,1,4
1550477154,0,1
1550480744,0,2
1550484348,1,2
1550487947,1,1
1550491556,2,2
1550495157,1,2
1550498754,4,2
1550502338,2,0
1550505946,2,0
1550509554,2,1
1550513160,1,2
1550516751,0,2
1550520347,1,1
1550523962,1,0
1550527551,0,1
1550545554,2,1
1550549175,1,5
1550552751,3,0
1550556364,0,4
1550559942,5,3
1550563550,3,2
1550567149,2,0
1550570752,1,1
1550574355,0,1
1550577947,1,2
1550581538,2,2
1550585156,2,0
1550588745,1,1
1550592357,0,1
1550595948,1,0
1550599560,0,1
1550603143,0,3
1550606739,1,0
1550610351,1,1
1550613952,1,2
1550621175,1,0
1550624754,0,1
1550628344,3,0
1550631944,0,1
1550635549,4,1
1550639156,0,2
1550642750,1,0
1550646359,1,1
1550649950,2,2
1550653543,1,1
1550657148,1,1
1550660750,1,1
1550664357,3,3
1550667960,2,1
1550671547,0,2
1550675155,2,2
1550678752,1,3
1550682360,1,0
1550685946,2,0
1550689542,0,1
1550693147,1,1
1550696751,1,2
1550700352,0,4
1550703950,5,1
1550707573,1,3
1550711173,2,1
1550714752,1,0
1550718347,0,2
1550721961,5,4
1550725555,4,0
1550729156,0,1
1550732752,2,2
1550736353,2,2
1550739966,3,1
1550743549,1,1
1550747150,0,1
1550750750,0,4
1550754353,1,3
1550757946,3,1
1550761541,2,0
