DateTime,AddedIPs,RemovedIPs
1549015911,7,6
1549019519,12,3
1549023097,5,3
1549026713,4,4
1549030287,4,2
1549033935,2,7
1549037507,5,14
1549041108,14,4
1549044695,8,2
1549048311,5,7
1549051884,1,6
1549055502,4,9
1549059094,6,5
1549062711,6,4
1549066324,9,2
1549069946,29,2
1549073520,4,3
1549077107,8,7
1549080667,7,17
1549084305,9,6
1549087918,5,12
1549091542,8,4
1549095079,12,4
1549098674,1,9
1549102379,10,8
1549105891,2,3
1549109490,4,8
1549113108,4,2
1549116749,2,4
1549120286,10,8
1549123903,10,3
1549127499,6,10
1549131134,11,10
1549134703,3,6
1549138332,4,9
1549141913,10,10
1549145516,8,3
1549149090,8,5
1549152752,16,9
1549156283,19,8
1549159886,8,9
1549163487,2,29
1549167112,4,16
1549170736,12,5
1549174443,12,10
1549178110,15,2
1549181478,3,11
1549185088,9,11
1549188697,8,2
1549192294,4,9
1549195891,5,10
1549199489,15,9
1549203093,11,4
1549206689,9,4
1549210283,6,12
1549213887,10,12
1549217476,11,9
1549221108,10,6
1549224689,8,12
1549228274,4,10
1549231878,9,13
1549235450,8,4
1549239160,20,5
1549242701,19,9
1549246284,2,4
1549249915,3,14
1549253499,11,23
1549257076,12,9
1549260696,6,6
1549264283,6,11
1549267909,7,3
1549271500,2,2
1549275099,9,10
1549278668,3,10
1549282270,12,6
1549285888,6,6
1549289512,6,11
1549293080,9,10
1549296707,8,4
1549300282,11,5
1549303885,3,10
1549307480,4,8
1549311083,4,6
1549314684,4,4
1549318281,3,13
1549321910,17,3
1549325610,29,6
1549329132,6,13
1549332689,2,11
1549336305,6,45
1549339928,5,7
1549343588,12,10
1549347099,9,7
1549350710,3,0
1549354295,4,2
1549357898,2,3
1549361485,1,1
1549365077,2,1
1549368701,1,3
1549372308,4,0
1549375912,2,2
1549379467,2,1
1549383130,2,1
1549386716,2,1
1549390295,2,4
1549393901,2,7
1549397516,5,2
1549401121,0,3
1549404695,1,2
1549408304,4,14
1549411993,31,2
1549415463,4,5
1549419094,2,1
1549422675,1,25
1549426311,2,3
1549429910,1,2
1549433484,3,0
1549437081,1,1
1549440697,2,0
1549444324,1,2
1549447892,0,1
1549451503,6,0
1549455080,1,3
1549458710,5,5
1549462300,2,1
1549465911,3,2
1549473097,1,3
1549476670,1,1
1549480308,1,3
1549483891,2,5
1549487523,3,2
1549491115,1,1
1549494655,2,0
1549498356,9,3
1549501948,13,3
1549505477,1,1
1549509080,2,5
1549512691,2,16
1549516295,1,1
1549519888,4,1
1549523477,0,2
1549530694,1,1
1549537910,0,1
1549541491,1,0
1549545079,3,4
1549548658,2,1
1549552310,2,5
1549555881,3,2
1549559507,5,1
1549563092,0,3
1549566692,2,1
1549570289,1,2
1549573887,2,0
1549577476,0,1
1549581088,2,4
1549584726,4,2
1549588288,21,1
1549591893,2,1
1549595480,3,3
1549599094,3,18
1549602675,4,1
1549606293,1,11
1549609901,0,5
1549613512,1,0
1549617064,1,3
1549620922,3,0
1549624857,3,3
1549627942,3,2
1549631532,1,1
1549635082,1,1
1549638694,1,2
1549642262,0,2
1549645928,1,0
1549649481,0,1
1549653223,2,0
1549656805,5,3
1549660426,3,1
1549663951,1,0
1549667563,2,3
1549671554,22,2
