DateTime,Entries,UniqueIPs
1549858841,3749,3749
1549860756,3750,3750
1549862687,3754,3754
1549864572,3751,3751
1549866743,3753,3753
1549868675,3743,3743
1549870574,3737,3737
1549872502,3751,3751
1549874442,3748,3748
1549876342,3742,3742
1549878256,3738,3738
1549880203,4635,4635
1549882095,7394,7394
1549884210,10045,10045
1549886442,11143,11143
1549888340,11104,11104
1549890266,11099,11099
1549892207,11102,11102
1549894111,11107,11107
1549896088,11092,11092
1549897968,11092,11092
1549899878,11077,11077
1549901781,11071,11071
1549903712,10160,10160
1549905640,9830,9830
1549907542,9506,9506
1549909493,9512,9512
1549911378,9513,9513
1549913557,9508,9508
1549915726,9520,9520
1549917624,9519,9519
1549919555,9517,9517
1549921460,9507,9507
1549923371,9510,9510
1549925316,9509,9509
1549927283,9658,9658
1549929141,9750,9750
1549931059,9746,9746
1549933003,9750,9750
1549934894,9745,9745
1549936851,9746,9746
1549938768,9745,9745
1549940679,9741,9741
1549942825,9733,9733
1549944740,9733,9733
1549946664,9734,9734
1549948579,9735,9735
1549950759,9733,9733
1549952670,9736,9736
1549954708,9683,9683
1549956747,9706,9706
1549958686,10136,10136
1549960579,10138,10138
1549962502,10138,10138
1549964470,10143,10143
1549966342,10142,10142
1549968259,10142,10142
1549970205,10140,10140
1549972122,10135,10135
1549974045,10141,10141
1549975963,10145,10145
1549977859,10148,10148
1549979808,10145,10145
1549981716,10144,10144
1549983756,10146,10146
1549986799,10205,10205
1549988904,10226,10226
1549990909,10225,10225
1549992746,10226,10226
1549994676,10215,10215
1549996594,10213,10213
1549998537,10222,10222
1550000412,10214,10214
1550002342,10221,10221
1550004274,10231,10231
1550006185,10233,10233
1550008089,10241,10241
1550010011,10246,10246
1550011940,10244,10244
1550013862,10251,10251
1550015795,10248,10248
1550017692,10247,10247
1550019628,10255,10255
1550021548,10265,10265
1550023478,10271,10271
1550025380,10273,10273
1550027296,10273,10273
1550029212,10277,10277
1550031143,10276,10276
1550033052,10273,10273
1550034995,10277,10277
1550036901,10275,10275
1550038812,10274,10274
1550040754,10272,10272
1550042668,10254,10254
1550044603,9829,9829
1550046513,9826,9826
1550049381,9822,9822
1550051426,9830,9830
1550053234,9833,9833
1550055137,9840,9840
1550057083,9844,9844
1550058969,9855,9855
1550060926,8770,8770
1550062835,6322,6322
1550064771,4023,4023
1550066662,2310,2310
1550068604,2311,2311
1550070512,2301,2301
1550072412,2311,2311
1550074589,2308,2308
1550076425,2304,2304
1550078414,2313,2313
1550080349,2315,2315
1550082275,2316,2316
1550084170,2317,2317
1550086102,2310,2310
1550088053,2300,2300
1550089959,2286,2286
1550091893,2290,2290
1550093793,2286,2286
1550095720,2280,2280
1550098344,1998,1998
1550100257,1992,1992
1550102175,1993,1993
1550104094,1992,1992
1550106039,1996,1996
1550107958,1948,1948
1550109869,1896,1896
1550111781,1889,1889
1550113714,1885,1885
1550115615,1979,1979
1550117542,2109,2109
1550119465,2108,2108
1550121372,2105,2105
1550123301,2105,2105
1550125232,2120,2120
1550127147,2108,2108
1550129079,2104,2104
1550130984,2100,2100
1550132889,2094,2094
1550134852,2088,2088
1550136769,2079,2079
1550138687,2076,2076
1550140596,2069,2069
1550142510,2062,2062
1550144410,2061,2061
1550146353,2047,2047
1550148255,2051,2051
1550150440,2047,2047
1550152330,2049,2049
1550154260,2045,2045
1550156190,2025,2025
1550158090,2026,2026
1550160081,2031,2031
1550161955,2033,2033
1550163863,2038,2038
1550165780,2039,2039
1550167716,2029,2029
1550169612,2036,2036
1550171548,2035,2035
1550173475,2036,2036
1550175378,2046,2046
1550177289,2050,2050
1550179213,2053,2053
1550181146,2064,2064
1550183049,2074,2074
1550185012,2071,2071
1550186907,2067,2067
1550188854,2070,2070
1550190758,2070,2070
1550192912,2057,2057
1550194835,2064,2064
1550196766,2060,2060
1550198652,2066,2066
1550200603,2066,2066
1550202495,1842,1842
1550204412,1834,1834
1550206375,1840,1840
1550208252,1837,1837
1550210166,1833,1833
1550212118,1819,1819
1550214066,1819,1819
1550216039,1822,1822
1550217893,1819,1819
1550219795,1812,1812
1550221719,1814,1814
1550223642,1816,1816
1550225546,1814,1814
1550227457,1817,1817
1550229402,1818,1818
1550231556,1818,1818
1550233457,1815,1815
1550235380,1811,1811
1550237316,1816,1816
1550239238,1807,1807
1550241147,1805,1805
1550243085,1807,1807
1550244995,1808,1808
1550246971,1809,1809
1550248813,1800,1800
1550250737,1802,1802
1550252687,1805,1805
1550254853,1785,1785
1550256738,1776,1776
1550258667,1772,1772
1550260578,1771,1771
1550262518,1776,1776
1550264585,2169,2169
1550266578,3381,3381
1550268513,3861,3861
1550270432,4637,4637
1550272363,5493,5493
1550274253,7047,7047
1550276188,8740,8740
1550278100,9999,9999
1550280011,10362,10362
1550281956,10362,10362
1550283886,10364,10364
1550285772,10362,10362
1550287941,10364,10364
1550289873,10356,10356
1550291787,10358,10358
1550293715,10363,10363
1550295639,10358,10358
1550297544,10361,10361
1550299474,10362,10362
1550301370,10357,10357
1550303298,10354,10354
1550305115,10354,10354
1550307128,10351,10351
1550309060,10350,10350
1550310991,10357,10357
1550312891,10364,10364
1550314842,10370,10370
1550316754,10374,10374
1550318663,10370,10370
1550320569,10382,10382
1550322764,10382,10382
1550324677,10379,10379
1550326602,10381,10381
1550328495,10385,10385
1550330413,10381,10381
1550332361,10384,10384
1550334252,10382,10382
1550336180,10386,10386
1550338884,10382,10382
1550340774,10387,10387
1550342652,10390,10390
1550344575,10393,10393
1550346494,10385,10385
1550348415,10377,10377
1550350370,10223,10223
1550352260,9192,9192
1550354170,8511,8511
1550356102,7832,7832
1550358255,7142,7142
1550360441,5376,5376
1550362364,3738,3738
1550364283,2335,2335
1550366195,1996,1996
1550368091,1994,1994
1550370041,1997,1997
1550371941,1999,1999
1550373854,2001,2001
1550375799,1998,1998
1550377712,2004,2004
1550379635,2001,2001
1550381563,2007,2007
1550383459,2008,2008
1550385401,2024,2024
1550387318,2024,2024
1550389221,2029,2029
1550391154,2034,2034
1550393056,2034,2034
1550394972,2036,2036
1550396897,2028,2028
1550398836,2151,2151
1550400735,2134,2134
1550402666,2133,2133
1550404595,2133,2133
1550406513,2124,2124
1550408456,2121,2121
1550410365,2124,2124
1550412279,2202,2202
1550414184,2213,2213
1550416116,2214,2214
1550418014,2212,2212
1550419945,2214,2214
1550421853,2440,2440
1550423799,3446,3446
1550425727,3797,3797
1550427633,3849,3849
1550429566,4031,4031
1550431455,4041,4041
1550433398,4045,4045
1550435307,4051,4051
1550438206,4077,4077
1550440088,4085,4085
1550442018,4088,4088
1550443966,4090,4090
1550445869,4031,4031
1550447772,4132,4132
1550449691,4878,4878
1550452578,5703,5703
1550454733,6415,6415
1550456653,7106,7106
1550458594,7773,7773
1550460490,8196,8196
1550462433,8194,8194
1550464340,8193,8193
1550466272,8197,8197
1550468176,8254,8254
1550470112,8253,8253
1550472012,8336,8336
1550473947,8489,8489
1550475870,8599,8599
1550477772,8863,8863
1550479582,9123,9123
1550481629,9362,9362
1550483555,9591,9591
1550485473,9742,9742
1550487365,10035,10035
1550489558,10331,10331
1550491513,10609,10609
1550493386,10881,10881
1550495296,11150,11150
1550497228,11375,11375
1550499145,11624,11624
1550501078,11960,11960
1550502978,12261,12261
1550504904,12300,12300
1550506711,12301,12301
1550508514,12223,12223
1550510432,11655,11655
1550512338,11446,11446
1550514251,11310,11310
1550516449,11021,11021
1550518362,11066,11066
1550520423,11096,11096
1550522421,11095,11095
1550524331,11076,11076
1550526270,11079,11079
1550528181,11085,11085
1550530089,11082,11082
1550532020,11083,11083
1550533947,11051,11051
1550535850,10309,10309
1550537790,9634,9634
1550539700,9021,9021
1550541647,8459,8459
1550543534,7918,7918
1550545491,7311,7311
1550547372,7047,7047
1550549542,7045,7045
1550551453,7041,7041
1550553382,7043,7043
1550555292,7039,7039
1550557222,6947,6947
1550559137,6943,6943
1550561072,6838,6838
1550562965,6540,6540
1550564895,6208,6208
1550566696,5936,5936
1550568496,7114,7114
1550571379,10260,10260
1550573308,12455,12455
1550575494,12277,12277
1550577390,11922,11922
1550579296,11621,11621
1550581286,11278,11278
1550583164,10983,10983
1550585086,10672,10672
1550586984,10309,10309
1550588904,9959,9959
1550590840,9812,9812
1550593010,9819,9819
1550595054,9823,9823
1550597072,9765,9765
1550598967,9832,9832
1550600911,9837,9837
