DateTime,AddedIPs,RemovedIPs
1549561957,0,1
1549563871,2,2
1549571564,2,2
1549573476,0,1
1549575386,0,1
1549577332,1,0
1549579245,2,0
1549581178,0,2
1549585238,1,1
1549587143,1,1
1549589055,0,1
1549592182,3,0
1549594092,0,1
1549596014,0,1
1549597981,0,1
1549601766,1,0
1549603695,2,0
1549605658,1,0
1549609484,2,2
1549613329,2,2
1549617155,0,1
1549619054,2,0
1549621001,3,2
1549622909,0,1
1549624842,2,0
1549626760,1,0
1549630589,0,2
1549632623,0,1
1549635393,1,1
1549637291,1,0
1549639240,0,1
1549641149,1,0
1549643063,1,0
1549644997,1,2
1549646902,1,0
1549648871,2,0
1549650761,1,2
1549654573,1,0
1549656521,0,3
1549660366,1,0
1549664187,0,2
1549666096,0,1
1549671878,1,1
1549673781,0,1
1549678579,1,3
1549684355,1,0
1549686275,2,0
1549688183,0,1
1549690113,0,2
1549694220,2,0
1549696133,0,1
1549699933,0,2
1549701863,6,0
1549703804,1,0
1549705694,1,2
1549707623,1,3
1549709562,1,0
1549711454,2,1
1549713400,1,2
1549718209,2,0
1549720117,0,1
1549722051,1,0
1549723930,0,1
1549727796,0,1
1549729694,1,2
1549731661,0,1
1549733546,1,1
1549735460,2,2
1549737385,1,1
1549745310,0,1
1549747234,1,0
1549749134,5,0
1549752286,2,0
1549756094,2,0
1549758028,2,1
1549759931,1,0
1549761887,3,0
1549763799,1,0
1549765953,0,1
1549767882,4,0
1549769793,0,1
1549771707,0,1
1549773639,0,1
1549779393,1,0
1549781300,0,2
1549787053,2,3
1549788977,0,2
1549790910,2,2
1549793791,4,2
1549795689,1,1
1549797619,0,1
1549799777,0,1
1549801691,1,0
1549803675,0,1
1549805555,1,0
1549807460,1,0
1549809481,0,1
1549811313,2,0
1549813224,1,0
1549815144,0,1
1549817055,2,1
1549820891,0,1
1549822811,0,3
1549828569,1,0
1549833410,1,1
1549835318,1,5
1549837222,0,2
1549839145,1,1
1549841084,0,2
1549842980,0,2
1549844897,1,1
1549846896,0,1
1549848767,1,3
1549852593,1,1
1549854775,3,4
1549866745,1,1
1549868679,2,0
1549870575,1,0
1549874444,1,2
1549876343,0,2
1549878257,1,1
1549880205,0,3
1549882097,2,1
1549884211,1,0
1549886451,2,0
1549888342,1,1
1549890269,1,0
1549892209,1,1
1549894112,2,1
1549896090,1,1
1549897970,1,2
1549899879,1,0
1549901783,0,1
1549903714,1,1
1549907543,1,0
1549913558,1,0
1549915728,1,1
1549917626,1,1
1549921462,2,1
1549927285,1,1
1549931061,1,1
1549933005,1,0
1549934896,0,1
1549936893,3,0
1549938770,0,1
1549940689,0,1
1549942827,0,2
1549944742,1,0
1549950761,1,0
1549952671,0,1
1549954710,1,0
1549956749,0,3
1549960594,1,0
1549962504,0,1
1549964472,1,1
1549966345,1,0
1549968261,2,1
1549970207,0,1
1549972124,0,1
1549974047,1,1
1549975965,0,2
1549977861,1,1
1549979810,0,1
1549981719,1,1
1549983758,1,0
1549986801,2,2
1549988906,1,0
1549990910,1,1
1549992749,1,0
1549994679,2,1
1549996596,1,0
1549998539,98,0
1550000413,53,1
1550002344,44,2
1550004276,51,1
1550006187,40,0
1550008091,18,1
1550010013,26,0
1550011942,30,0
1550013864,37,1
1550015797,28,0
1550017694,18,1
1550019647,19,0
1550021550,52,0
1550023482,18,3
1550025382,20,0
1550027298,22,0
1550029214,22,0
1550031145,15,1
1550033054,20,0
1550034997,20,0
1550036903,17,1
1550038814,18,0
1550040756,9,1
1550042670,14,0
1550044605,21,0
1550046516,26,1
1550049383,36,1
1550051431,23,0
1550053236,15,1
1550055139,13,1
