DateTime,Entries,UniqueIPs
1549731672,121,121
1549733547,119,119
1549735461,120,120
1549737386,124,124
1549739298,125,125
1549741581,126,126
1549743392,127,127
1549745324,126,126
1549749135,127,127
1549752288,127,127
1549754224,127,127
1549756097,127,127
1549758030,126,126
1549759933,128,128
1549761889,129,129
1549763801,130,130
1549765955,129,129
1549767884,130,130
1549769795,129,129
1549771722,125,125
1549773641,125,125
1549775536,126,126
1549777465,127,127
1549781302,126,126
1549783226,127,127
1549785174,128,128
1549788978,126,126
1549790912,127,127
1549794743,128,128
1549800772,129,129
1549802665,128,128
1549804651,128,128
1549808438,129,129
1549810345,131,131
1549814195,133,133
1549818089,133,133
1549821891,113,113
1549823775,108,108
1549825710,107,107
1549827652,108,108
1549829542,106,106
1549831465,108,108
1549835319,109,109
1549837223,108,108
1549839146,108,108
1549841085,110,110
1549842981,113,113
1549844898,114,114
1549846902,111,111
1549848768,109,109
1549850685,107,107
1549852594,107,107
1549854776,109,109
1549856667,112,112
1549858844,115,115
1549860759,116,116
1549862689,116,116
1549864574,115,115
1549866746,118,118
1549870576,120,120
1549872505,122,122
1549874445,120,120
1549876344,121,121
1549878259,123,123
1549882098,121,121
1549886468,122,122
1549888343,122,122
1549890270,123,123
1549894114,123,123
1549896092,123,123
1549897971,123,123
1549899880,123,123
1549901784,123,123
1549903715,123,123
1549905643,122,122
1549907546,123,123
1549909496,121,121
1549911381,123,123
1549913559,122,122
1549915730,124,124
1549917628,123,123
1549921464,117,117
1549923398,117,117
1549925320,115,115
1549927287,115,115
1549929145,116,116
1549931063,115,115
1549934898,113,113
1549936927,114,114
1549940691,113,113
1549942829,110,110
1549944744,108,108
1549948584,107,107
1549950763,104,104
1549952674,105,105
1549954712,106,106
1549956751,105,105
1549958692,102,102
1549960596,100,100
1549962506,100,100
1549964474,99,99
1549967317,99,99
1549969239,99,99
1549971287,98,98
1549973580,99,99
1549975462,98,98
1549977379,96,96
1549979537,96,96
1549981455,97,97
1549983388,96,96
1549985294,93,93
1549987454,92,92
1549989404,91,91
1549991336,90,90
1549993214,91,91
1549997063,89,89
1550000899,88,88
1550002841,88,88
1550004760,90,90
1550006653,91,91
1550008590,91,91
1550010499,89,89
1550012450,91,91
1550014366,89,89
1550016279,88,88
1550018169,89,89
1550020105,94,94
1550022041,99,99
1550023947,100,100
1550025853,98,98
1550027802,99,99
1550029733,99,99
1550031647,100,100
1550033575,100,100
1550035462,99,99
1550037370,99,99
1550039317,100,100
1550041242,101,101
1550043370,100,100
1550045317,102,102
1550047210,101,101
1550049129,100,100
1550053238,101,101
1550055141,102,102
1550057087,103,103
1550060931,103,103
1550062891,105,105
1550064775,103,103
1550066667,101,101
1550068609,102,102
1550070516,100,100
1550072430,101,101
1550074593,101,101
1550076429,101,101
1550078418,102,102
1550082278,101,101
1550084174,100,100
1550086106,100,100
1550089963,98,98
1550091901,97,97
1550093797,99,99
1550095724,102,102
1550098348,103,103
1550100261,102,102
1550102179,102,102
1550104098,104,104
1550106109,103,103
1550107962,102,102
1550109874,99,99
1550111785,99,99
1550113732,98,98
1550115619,97,97
1550117545,96,96
1550119469,97,97
1550121376,95,95
1550123305,94,94
1550127151,99,99
1550129096,103,103
1550130988,101,101
1550136772,100,100
1550138692,108,108
1550140600,109,109
