DateTime,AddedIPs,RemovedIPs
1549860759,11,8
1549862690,9,9
1549864574,14,173
1549866746,13,18
1549868681,13,33
1549870577,23,10
1549872505,7,9
1549874446,3,15
1549876345,12,14
1549878259,10,11
1549880207,6,265
1549882099,12,8
1549884213,12,6
1549886492,13,9
1549888344,9,14
1549890271,15,12
1549892211,12,7
1549894114,12,14
1549896092,16,105
1549897972,27,9
1549899881,12,13
1549901785,12,18
1549903716,15,348
1549905643,22,14
1549907546,21,7
1549909496,17,13
1549911382,13,14
1549913560,15,14
1549915731,16,7
1549917628,17,10
1549919560,16,14
1549921465,12,27
1549923399,14,12
1549925321,9,10
1549927287,957,14
1549929146,276,21
1549931063,11,11
1549933007,17,48
1549934899,9,13
1549936929,11,11
1549938772,19,14
1549940692,10,9
1549942830,8,108
1549944744,5,13
1549946683,10,11
1549948584,11,8
1549950764,15,7
1549952674,15,11
1549954713,8,265
1549956751,92,26
1549958692,610,7
1549960596,14,4
1549962507,11,7
1549964474,11,12
1549967317,19,17
1549969249,13,15
1549971288,13,32
1549973581,11,11
1549975463,14,10
1549977379,8,9
1549979537,16,11
1549981456,11,8
1549983389,12,14
1549985294,9,12
1549987470,13,17
1549989405,14,9
1549991337,17,15
1549993214,14,20
1549995155,5,11
1549997064,6,17
1549998974,26,52
1550000900,17,12
1550002842,15,11
1550004761,16,16
1550006654,23,14
1550008591,11,12
1550010500,11,8
1550012455,14,14
1550014380,12,13
1550016279,12,14
1550018170,16,8
1550020105,15,18
1550022041,18,8
1550023948,9,11
1550025853,11,16
1550027803,15,7
1550029734,14,9
1550031647,13,6
1550033575,9,15
1550035463,11,10
1550037371,10,10
1550039317,9,14
1550041246,404,8
1550043371,17,86
1550045318,31,618
1550047211,15,11
1550049129,12,12
1550051433,13,5
1550053239,6,8
1550055142,11,12
1550057087,8,9
1550058974,38,4
1550060931,16,11
1550062891,8,9
1550064775,5,10
1550066668,9,8
1550068609,8,9
1550070517,10,52
1550072431,49,8
1550074593,10,8
1550076429,11,17
1550078418,18,12
1550080354,13,4
1550082279,10,4
1550084174,8,7
1550086106,15,11
1550088121,15,7
1550089963,10,6
1550091902,13,13
1550093798,11,20
1550095725,20,8
1550098349,20,1364
1550100262,17,22
1550102179,7,8
1550104099,12,11
1550106112,17,15
1550107962,13,17
1550109875,12,8
1550111786,8,5
1550113733,13,11
1550115620,614,17
1550117546,243,16
1550119469,15,7
1550121376,17,7
1550123305,10,11
1550125246,11,7
1550127152,13,530
1550129097,15,15
1550130988,14,40
1550132893,12,27
1550134895,8,19
1550136773,16,14
1550138693,15,8
1550140600,15,9
1550142514,12,7
1550144414,14,39
1550146358,18,14
1550148260,16,11
1550150445,11,11
1550152348,21,11
1550154264,14,13
1550156195,12,20
1550158095,23,11
1550160100,13,10
1550161960,25,12
1550163870,21,15
1550165785,15,15
1550167720,12,13
1550169616,12,5
1550171553,8,13
1550173479,5,12
1550175383,4,8
1550177293,8,7
1550179217,15,14
1550181150,10,25
1550183053,9,13
1550185016,14,8
1550186913,7,14
1550188880,7,7
1550190761,8,8
1550192916,12,49
1550194853,11,14
1550196769,14,14
1550198656,10,6
1550200607,10,14
1550202499,12,853
1550204416,12,9
1550206379,11,20
1550208256,10,16
1550210169,17,14
1550212122,13,13
1550214106,6,14
1550216042,10,20
1550217900,6,8
1550219798,8,14
1550221722,7,5
1550223646,13,11
1550225551,18,11
1550227461,4,16
1550229406,17,6
1550231560,11,15
1550233462,12,17
1550235383,7,14
1550237320,13,40
1550239293,13,22
1550241151,11,16
1550243089,7,13
1550244999,16,12
1550246974,12,14
1550248817,10,26
1550250741,6,23
1550252702,10,11
1550254857,11,14
1550256742,9,17
1550258670,16,6
1550260582,5,2
1550262522,15,8
1550264588,7,11
1550266581,8,35
1550268518,211,8
1550270436,18,11
1550272367,10,11
1550274257,199,8
1550276192,5,5
1550278104,12,14
1550280015,13,11
1550281960,4,10
1550283890,7,13
1550285776,10,11
1550287944,11,16
1550289879,8,8
1550291804,11,14
1550293719,6,7
1550295643,16,13
1550297548,10,19
1550299477,14,7
1550301373,12,9
1550303302,16,8
1550305120,8,5
1550307132,5,6
1550309064,16,6
1550310995,11,16
1550312895,4,16
1550314936,40,7
1550316758,6,16
1550318668,13,9
1550320573,11,14
1550322768,12,6
1550324681,10,15
1550326606,8,10
1550328499,11,24
1550330418,29,24
1550332364,24,14
1550334256,7,10
1550336185,19,6
1550338893,12,16
1550340779,13,9
1550342656,8,7
1550344579,8,14
1550346498,12,8
1550348420,6,14
1550350375,4,8
1550352264,11,7
1550354174,41,71
1550356106,81,99
1550358273,74,11
1550360445,130,191
1550362369,37,4
1550364287,120,12
1550366200,190,10
1550368095,16,3
1550370046,10,7
1550371946,14,9
1550373859,9,10
1550375804,7,5
1550377716,9,9
1550379689,8,6
1550381568,72,14
1550383471,10,11
1550385405,41,13
1550387322,11,16
1550389226,9,18
1550391159,9,8
1550393061,7,5
1550394977,10,13
1550396901,10,13
1550398841,279,8
1550400740,7,95
1550402671,7,5
1550404599,4,8
1550406518,10,14
1550408493,4,4
1550410369,9,8
1550412284,3714,9
1550414188,155,5
1550416120,8,15
1550418018,2,13
1550419949,11,4
1550421857,634,15
1550423804,409,7
1550425770,15,8
1550427681,32,12
1550429570,19,9
1550431459,9,6
1550433402,14,12
1550435311,13,5
1550437300,16,8
1550439144,73,42
1550441100,16,4
1550442978,11,7
1550445149,15,8
1550447061,13,44
1550449258,23,137
1550451154,10,160
1550453056,6,121
1550455006,13,20
1550456893,17,8
1550458921,7,14
1550460775,8,7
1550462673,13,9
1550464605,19,6
1550466501,5,7
1550468416,126,22
1550470353,120,10
1550472279,731,6
1550474180,12,10
1550476103,16,5
1550478039,11,6
1550479951,9,4
1550481864,122,11
1550483799,8,8
1550485721,6,185
1550488612,13,7
1550490498,6,4
1550492448,10,9
1550494355,11,4
1550496267,20,7
1550498194,11,3820
1550500094,6,19
1550502068,22,28
1550503976,31,26
1550506716,36,9
1550508519,12,572
1550510438,10,364
1550512343,18,11
1550514280,10,163
1550516486,13,12
1550518367,408,8
1550520427,186,11
1550522425,9,11
1550524335,18,41
1550526274,33,26
1550528185,8,12
1550530093,6,11
1550532023,11,11
1550533951,5,13
1550535854,13,16
1550537793,4,9
1550539704,10,2
1550541707,15,10
1550543538,14,10
1550545506,11,3
1550547390,7,6
1550549546,12,11
1550551457,11,14
1550553386,15,7
1550555295,8,15
1550557225,9,844
1550559141,12,15
1550561076,9,20
1550562968,13,13
1550564899,10,9
1550566699,9,14
1550568500,12,172
1550570492,17,13
1550572340,7,9
1550574533,37,16
1550576425,4,11
1550578363,4,11
1550580277,8,12
1550582207,6,7
1550584101,6,28
1550586032,15,10
1550587974,12,19
1550589869,11,13
1550591781,13,11
1550593697,34,17
1550595700,31,18
1550597538,645,13
1550599511,3164,19
1550601628,16,18
1550603564,150,13
1550605462,1159,36
1550607382,12,24
1550609538,18,14
1550611457,17,12
1550613406,19,154
1550615537,17,452
1550617461,17,7
1550619402,8,11
1550621315,13,13
1550623212,21,6
1550625136,18,11
1550627053,13,13
1550628997,16,12
1550630911,11,18
1550632839,16,11
1550634750,13,13
1550636663,15,13
1550638599,15,11
1550640523,22,22
1550642461,15,49
1550644372,13,14
1550646305,30,12
1550648450,16,15
1550650498,12,10
1550652508,13,13
1550654465,9,14
1550656375,9,13
1550658260,13,10
1550660195,10,3
1550662096,345,5
1550664087,47,2
1550665948,70,5
1550667891,106,9
1550669804,164,2
1550671978,197,16
1550673883,80,45
1550675789,28,10
1550677716,23,8
1550680132,28,22
1550682182,72,10
1550684210,21,1460
1550686097,410,2373
1550688027,37,11
1550689938,29,22
1550691857,28,1268
1550693804,23,13
1550695698,34,16
1550697617,39,9
1550699552,25,14
1550701478,39,21
1550703383,27,16
1550705332,42,8
1550707309,26,11
1550709150,18,16
1550711112,12,18
1550713005,8,16
1550714907,14,13
1550716816,12,8
1550718776,3,8
1550720657,9,9
1550722578,9,5
1550724526,12,14
1550726421,9,13
1550728333,15,12
1550730307,15,19
1550732183,13,21
1550734367,21,14
1550736296,12,8
1550738184,14,16
1550740099,16,6
1550742045,24,7
1550743949,14,16
1550745876,15,13
1550747802,14,132
1550749699,6,82
1550751649,17,58
1550753570,16,101
1550755457,16,107
1550757702,216,144
1550759548,7,112
1550761484,16,39
1550763374,18,34
1550765375,15,31
1550767216,13,30
1550769138,8,33
1550771073,9,19
1550772996,15,217
1550775163,13,296
1550777062,15,51
1550778992,14,49
1550780891,12,47
1550782886,6,57
1550784748,15,44
1550786692,16,48
1550788594,478,47
1550790506,10,56
1550792481,7,43
1550794360,10,21
1550796189,10,18
1550798177,13,11
1550800100,287,13
1550802033,994,14
1550803932,12,8
1550805893,15,10
1550807795,9,8
1550809941,7,12
1550811889,15,6
1550813821,14,14
1550815719,409,11
1550817615,46,15
1550819576,18,17
1550821487,79,23
1550823638,38,13
1550825584,118,16
1550827475,176,16
1550829402,10,23
1550831305,15,18
1550833329,14,21
