DateTime,AddedIPs,RemovedIPs
1549862690,11,10
1549864575,16,173
1549866747,13,18
1549868682,13,33
1549870577,22,10
1549872506,7,10
1549874449,3,15
1549876346,12,14
1549878260,10,12
1549880207,6,266
1549882099,12,8
1549884214,12,6
1549886501,13,9
1549888344,9,16
1549890272,15,12
1549892212,13,9
1549894115,13,14
1549896093,16,105
1549897972,27,9
1549899882,12,13
1549901785,12,19
1549903717,16,348
1549905644,22,15
1549907547,21,8
1549909497,20,15
1549911382,15,14
1549913561,15,14
1549915731,17,7
1549917629,17,11
1549919560,17,17
1549921465,14,27
1549923399,14,13
1549925322,9,10
1549927288,958,14
1549929146,277,21
1549931064,12,12
1549933008,18,48
1549934899,9,13
1549936930,11,11
1549938773,19,14
1549940693,11,9
1549942830,9,108
1549944745,6,13
1549946683,11,12
1549948585,11,9
1549950764,15,9
1549952675,15,12
1549954713,9,265
1549956752,92,26
1549958693,610,7
1549960597,14,4
1549962508,13,7
1549964476,10,11
1549966368,8,14
1549968263,19,10
1549970210,9,36
1549972126,14,8
1549974049,9,8
1549975968,15,14
1549977863,10,9
1549979812,14,8
1549981721,12,22
1549983760,20,12
1549986804,15,21
1549988908,18,10
1549990913,15,13
1549992751,16,23
1549994683,10,12
1549996599,5,21
1549998541,23,52
1550000415,21,12
1550002347,15,11
1550004278,15,16
1550006189,20,14
1550008093,16,16
1550010015,13,9
1550011944,12,9
1550013866,16,18
1550015799,9,16
1550017696,14,8
1550019702,18,19
1550021552,18,9
1550023484,8,11
1550025397,10,17
1550027300,17,11
1550029216,16,8
1550031146,15,7
1550033056,11,11
1550035003,9,11
1550036905,10,13
1550038816,11,14
1550040781,404,8
1550042672,15,80
1550044608,33,622
1550046517,13,12
1550049385,22,15
1550051434,13,5
1550053239,6,8
1550055142,12,13
1550057088,8,9
1550058975,42,5
1550060932,17,11
1550062892,8,9
1550064776,5,11
1550066669,12,9
1550068610,8,9
1550070517,11,52
1550072432,49,8
1550074594,10,9
1550076430,11,18
1550078419,18,13
1550080354,15,4
1550082280,11,5
1550084175,8,8
1550086107,15,11
1550088122,15,8
1550089964,10,7
1550091903,13,13
1550093798,11,20
1550095725,20,8
1550098350,21,1365
1550100263,17,22
1550102180,8,8
1550104099,13,12
1550106114,18,15
1550107963,14,17
1550109875,12,8
1550111786,9,5
1550113733,13,14
1550115621,615,17
1550117546,242,16
1550119470,16,9
1550121377,17,8
1550123306,10,11
1550125247,11,8
1550127153,14,530
1550129097,15,17
1550130989,16,41
1550132894,12,27
1550134896,10,20
1550136773,16,16
1550138695,15,8
1550140601,16,10
1550142515,12,7
1550144415,15,41
1550146358,18,17
1550148261,16,11
1550150446,11,11
1550152349,22,12
1550154265,16,14
1550156196,13,21
1550158095,23,11
1550160101,13,10
1550161961,25,12
1550163870,22,15
1550165785,15,16
1550167720,12,15
1550169617,13,5
1550171553,10,13
1550173479,5,12
1550175383,4,8
1550177293,8,7
1550179218,16,14
1550181151,10,25
1550183054,10,13
1550185017,15,9
1550186913,7,14
1550188882,8,8
1550190762,9,8
1550192916,12,51
1550194853,12,15
1550196770,15,14
1550198656,12,7
1550200608,12,14
1550202500,12,854
1550204416,13,10
1550206380,12,20
1550208256,11,16
1550210170,17,14
1550212122,13,13
1550214109,7,15
1550216043,10,21
1550217901,7,9
1550219799,8,14
1550221722,9,7
1550223646,14,11
1550225552,19,11
1550227461,4,17
1550229406,17,7
1550231561,12,15
1550233462,12,16
1550235384,7,14
1550237321,13,41
1550239296,14,22
1550241152,12,18
1550243089,7,14
1550245000,16,12
1550246975,12,14
1550248818,10,27
1550250741,7,23
1550252703,10,11
1550254857,11,15
1550256743,10,19
1550258671,19,6
1550260582,6,2
1550262522,17,8
1550264589,7,12
1550266582,7,35
1550268518,212,9
1550270436,19,11
1550272367,10,13
1550274257,199,9
1550276193,5,5
1550278105,14,15
1550280016,13,12
1550281960,5,10
1550283890,7,14
1550285776,10,13
1550287945,12,18
1550289879,8,8
1550291805,11,15
1550293719,6,9
1550295644,16,13
1550297549,10,19
1550299478,14,8
1550301374,13,9
1550303303,16,8
1550305120,10,6
1550307132,5,7
1550309064,16,7
1550310996,11,18
1550312896,7,16
1550314939,40,7
1550316759,7,17
1550318669,15,9
1550320574,12,14
1550322769,12,6
1550324682,10,15
1550326606,10,12
1550328499,12,24
1550330418,30,24
1550332365,24,14
1550334256,8,10
1550336185,20,6
1550338893,13,16
1550340779,13,9
1550342657,8,8
1550344579,9,17
1550346499,12,9
1550348420,7,15
1550350375,4,9
1550352264,11,7
1550354174,42,72
1550356107,82,100
1550358276,74,11
1550360446,130,191
1550362369,38,4
1550364288,122,14
1550366200,190,10
1550368096,16,4
1550370046,12,7
1550371946,15,9
1550373859,9,10
1550375804,7,6
1550377716,9,9
1550379695,9,6
1550381568,73,14
1550383472,10,11
1550385406,41,13
1550387323,11,17
1550389227,10,18
1550391159,10,9
1550393061,7,6
1550394977,10,13
1550396901,10,13
1550398841,279,11
1550400740,7,95
1550402671,8,6
1550404600,4,9
1550406518,10,16
1550408496,5,4
1550410369,10,8
1550412285,3714,9
1550414189,155,8
1550416120,9,16
1550418019,3,13
1550419950,12,5
1550421858,634,16
1550423804,410,8
1550425782,16,8
1550427682,32,12
1550429570,19,10
1550431460,9,6
1550433403,14,12
1550435312,14,6
1550437301,16,8
1550439145,74,42
1550441100,16,5
1550442979,12,8
1550445150,15,8
1550447061,13,44
1550449258,23,138
1550451155,10,162
1550453070,6,121
1550455007,13,21
1550456893,18,9
1550458924,7,15
1550460775,10,7
1550462674,13,9
1550464606,19,7
1550466502,5,7
1550468430,127,23
1550470353,120,10
1550472281,731,6
1550474181,13,10
1550476104,16,7
1550478040,13,6
1550479951,9,4
1550481865,123,11
1550483799,9,8
1550485722,7,185
1550487722,11,5
1550489563,5,3
1550491530,12,7
1550493391,10,7
1550495302,8,9
1550497233,25,1194
1550499149,9,2638
1550501083,7,13
1550502983,24,31
1550504909,31,4
1550506716,11,8
1550508519,13,572
1550510438,10,365
1550512344,19,12
1550514281,10,163
1550516488,14,12
1550518367,413,8
1550520428,187,11
1550522425,9,12
1550524335,18,41
1550526274,36,27
1550528186,9,12
1550530093,7,12
1550532024,12,11
1550533951,5,13
1550535854,13,16
1550537794,5,9
1550539704,12,2
1550541710,16,11
1550543539,15,10
1550545510,11,3
1550547390,7,8
1550549547,13,11
1550551458,11,14
1550553391,15,7
1550555296,8,16
1550557226,9,844
1550559142,13,16
1550561077,10,20
1550562969,13,13
1550564899,11,11
1550566700,10,14
1550568501,18,173
1550570492,18,14
1550572341,7,10
1550574533,38,16
1550576426,4,11
1550578364,4,15
1550580278,8,12
1550582208,6,7
1550584101,6,28
1550586033,15,10
1550587975,12,20
1550589869,12,15
1550591782,13,11
1550593697,35,17
1550595702,31,19
1550597538,647,13
1550599513,3161,19
1550601629,17,18
1550603565,151,16
1550605463,1160,39
1550607383,13,25
1550609539,20,14
1550611458,17,12
1550613407,19,158
1550615538,17,452
1550617462,17,7
1550619403,9,12
1550621315,15,13
1550623212,21,7
1550625136,20,14
1550627054,13,13
1550628998,16,13
1550630912,12,19
1550632839,16,11
1550634751,13,13
1550636664,15,14
1550638599,15,11
1550640524,23,21
1550643393,24,50
1550645328,14,17
1550647227,19,8
1550649151,17,15
1550651051,11,10
1550652966,11,13
1550654960,8,18
1550656882,11,17
1550658761,13,7
1550660676,9,3
1550662595,354,5
1550664508,52,2
1550666416,84,8
1550668373,115,7
1550670253,167,3
1550672440,205,16
1550674338,41,44
1550676280,31,9
1550678170,15,8
1550680132,26,22
1550682183,74,10
1550684211,22,1461
1550686097,411,2372
1550688027,37,12
1550689939,29,23
1550691857,29,1268
1550693805,23,14
1550695699,34,18
1550697618,39,9
1550699552,25,14
1550701478,40,21
1550703384,27,16
1550705332,42,9
1550707318,28,12
1550709150,19,17
1550711113,12,19
1550713005,8,17
1550714909,14,14
1550716817,13,7
1550718776,3,9
1550720658,10,9
1550722579,10,5
1550724526,12,14
1550726421,9,15
1550728334,16,13
1550730307,15,19
1550732183,14,21
1550734367,21,14
1550736297,12,8
1550738185,14,16
1550740100,16,6
1550742046,24,8
1550743949,16,16
1550745876,15,13
1550747803,15,135
1550749701,6,82
