DateTime,Entries,UniqueIPs
1549862690,2710,2710
1549864575,2553,2553
1549866747,2548,2548
1549868682,2528,2528
1549870577,2540,2540
1549872506,2537,2537
1549874449,2525,2525
1549876346,2523,2523
1549878260,2521,2521
1549880207,2261,2261
1549882099,2265,2265
1549884214,2271,2271
1549886501,2275,2275
1549888344,2268,2268
1549890272,2271,2271
1549892212,2275,2275
1549894115,2274,2274
1549896093,2185,2185
1549897972,2203,2203
1549899882,2202,2202
1549901785,2195,2195
1549903717,1863,1863
1549905644,1870,1870
1549907547,1883,1883
1549909497,1888,1888
1549911382,1889,1889
1549913561,1890,1890
1549915731,1900,1900
1549917629,1906,1906
1549919560,1906,1906
1549921465,1893,1893
1549923399,1894,1894
1549925322,1893,1893
1549927288,2837,2837
1549929146,3093,3093
1549931064,3093,3093
1549933008,3063,3063
1549934899,3059,3059
1549936930,3059,3059
1549938773,3064,3064
1549940693,3066,3066
1549942830,2967,2967
1549944745,2960,2960
1549946683,2959,2959
1549948585,2961,2961
1549950764,2967,2967
1549952675,2970,2970
1549954713,2714,2714
1549956752,2780,2780
1549958693,3383,3383
1549960597,3393,3393
1549962508,3399,3399
1549964476,3398,3398
1549966368,3392,3392
1549968263,3401,3401
1549970210,3374,3374
1549972126,3380,3380
1549974049,3381,3381
1549975968,3382,3382
1549977863,3383,3383
1549979812,3389,3389
1549981721,3379,3379
1549983760,3387,3387
1549986804,3381,3381
1549988908,3389,3389
1549990913,3391,3391
1549992751,3384,3384
1549994683,3382,3382
1549996599,3366,3366
1549998541,3337,3337
1550000415,3346,3346
1550002347,3350,3350
1550004278,3349,3349
1550006189,3355,3355
1550008093,3355,3355
1550010015,3359,3359
1550011944,3362,3362
1550013866,3360,3360
1550015799,3353,3353
1550017696,3359,3359
1550019702,3358,3358
1550021552,3367,3367
1550023484,3364,3364
1550025397,3357,3357
1550027300,3363,3363
1550029216,3371,3371
1550031146,3379,3379
1550033056,3379,3379
1550035003,3377,3377
1550036905,3374,3374
1550038816,3371,3371
1550040781,3767,3767
1550042672,3702,3702
1550044608,3113,3113
1550046517,3114,3114
1550049385,3121,3121
1550051434,3129,3129
1550053239,3127,3127
1550055142,3126,3126
1550057088,3125,3125
1550058975,3162,3162
1550060932,3168,3168
1550062892,3167,3167
1550064776,3161,3161
1550066669,3164,3164
1550068610,3163,3163
1550070517,3122,3122
1550072432,3163,3163
1550074594,3164,3164
1550076430,3157,3157
1550078419,3162,3162
1550080354,3173,3173
1550082280,3179,3179
1550084175,3179,3179
1550086107,3183,3183
1550088122,3190,3190
1550089964,3193,3193
1550091903,3193,3193
1550093798,3184,3184
1550095725,3196,3196
1550098350,1852,1852
1550100263,1847,1847
1550102180,1847,1847
1550104099,1848,1848
1550106114,1851,1851
1550107963,1848,1848
1550109875,1852,1852
1550111786,1856,1856
1550113733,1855,1855
1550115621,2453,2453
1550117546,2679,2679
1550119470,2686,2686
1550121377,2695,2695
1550123306,2694,2694
1550125247,2697,2697
1550127153,2181,2181
1550129097,2179,2179
1550130989,2154,2154
1550132894,2139,2139
1550134896,2129,2129
1550136773,2129,2129
1550138695,2136,2136
1550140601,2142,2142
1550142515,2147,2147
1550144415,2121,2121
1550146358,2122,2122
1550148261,2127,2127
1550150446,2127,2127
1550152349,2137,2137
1550154265,2139,2139
1550156196,2131,2131
1550158095,2143,2143
1550160101,2146,2146
1550161961,2159,2159
1550163870,2166,2166
1550165785,2165,2165
1550167720,2162,2162
1550169617,2170,2170
1550171553,2167,2167
1550173479,2160,2160
1550175383,2156,2156
1550177293,2157,2157
1550179218,2159,2159
1550181151,2144,2144
1550183054,2141,2141
1550185017,2147,2147
1550186913,2140,2140
1550188882,2140,2140
1550190762,2141,2141
1550192916,2102,2102
1550194853,2099,2099
1550196770,2100,2100
1550198656,2105,2105
1550200608,2103,2103
1550202500,1261,1261
1550204416,1264,1264
1550206380,1256,1256
1550208256,1251,1251
1550210170,1254,1254
