DateTime,Entries,UniqueIPs
1549862691,2215,2215
1549864576,2106,2106
1549866748,2004,2004
1549868683,2009,2009
1549870579,1995,1995
1549872507,2002,2002
1549874450,2008,2008
1549876347,2008,2008
1549878261,2011,2011
1549880208,2006,2006
1549882101,2008,2008
1549884215,2001,2001
1549886515,2013,2013
1549888347,1994,1994
1549890274,1978,1978
1549892213,1983,1983
1549894117,1972,1972
1549896095,1955,1955
1549897974,1959,1959
1549899883,1959,1959
1549901787,1969,1969
1549903718,1977,1977
1549905646,1978,1978
1549907548,1995,1995
1549909498,2073,2073
1549911384,2096,2096
1549913562,2102,2102
1549915733,2098,2098
1549917630,2103,2103
1549919562,2108,2108
1549921467,2134,2134
1549923401,2130,2130
1549925323,2144,2144
1549927290,2153,2153
1549929147,2156,2156
1549931065,2176,2176
1549933009,2200,2200
1549934900,2241,2241
1549936931,2252,2252
1549938774,2248,2248
1549940701,2249,2249
1549942832,2246,2246
1549944759,2236,2236
1549946684,2233,2233
1549948586,2231,2231
1549950765,2217,2217
1549952676,2213,2213
1549954715,2224,2224
1549956754,2199,2199
1549958695,2196,2196
1549960598,2193,2193
1549962509,2198,2198
1549964477,2212,2212
1549966370,2223,2223
1549968265,2217,2217
1549970212,2208,2208
1549972127,2210,2210
1549974051,2215,2215
1549975969,2226,2226
1549977865,2240,2240
1549979814,2242,2242
1549981722,2243,2243
1549983761,2259,2259
1549986806,2241,2241
1549988910,2225,2225
1549990914,2215,2215
1549992753,2207,2207
1549994684,2185,2185
1549996601,2100,2100
1549998542,2085,2085
1550000417,2081,2081
1550002348,2076,2076
1550004280,2072,2072
1550006190,2058,2058
1550008095,2055,2055
1550010017,2049,2049
1550011945,2030,2030
1550013867,2018,2018
1550015800,2002,2002
1550017698,1991,1991
1550019715,1990,1990
1550021554,1972,1972
1550023486,1980,1980
1550025399,2008,2008
1550027302,2006,2006
1550029218,1999,1999
1550031149,1997,1997
1550033058,2000,2000
1550035005,1996,1996
1550036907,2004,2004
1550038818,2008,2008
1550040783,1992,1992
1550042674,1992,1992
1550044610,1989,1989
1550046519,1990,1990
1550049386,1986,1986
1550051436,1970,1970
