DateTime,Entries,UniqueIPs
1549818117,939,939
1549821897,941,941
1549823781,942,942
1549825715,941,941
1549827658,941,941
1549829548,942,942
1549837228,943,943
1549839152,946,946
1549842986,946,946
1549844903,949,949
1549846915,951,951
1549848774,947,947
1549850691,948,948
1549852598,946,946
1549854783,946,946
1549856673,948,948
1549858849,946,946
1549860763,951,951
1549862694,950,950
1549866750,952,952
1549868686,953,953
1549870582,953,953
1549872510,953,953
1549874454,956,956
1549876351,956,956
1549878264,955,955
1549880212,956,956
1549882104,957,957
1549884219,959,959
1549886522,959,959
1549888351,962,962
1549892227,961,961
1549894120,959,959
1549896099,960,960
1549897990,961,961
1549899887,962,962
1549901789,963,963
1549903722,64,64
1549905649,65,65
1549909506,77,77
1549911387,94,94
1549913565,95,95
1549915736,93,93
1549919565,94,94
1549923405,94,94
1549925327,91,91
1549927293,90,90
1549929151,93,93
1549931068,91,91
1549933012,91,91
1549934903,92,92
1549936934,91,91
1549938777,88,88
1549940746,89,89
1549942836,87,87
1549944763,87,87
1549946688,87,87
1549948589,89,89
1549952679,89,89
1549954717,88,88
1549956757,91,91
1549958698,89,89
1549960601,91,91
1549962513,95,95
1549964480,96,96
1549966374,99,99
1549968269,99,99
1549970216,100,100
1549972131,98,98
1549974054,99,99
1549975974,97,97
1549977868,97,97
1549983764,98,98
1549986810,101,101
1549988913,99,99
1549990918,100,100
1549992757,99,99
1549994692,98,98
1549996604,79,79
1549998550,73,73
1550000421,74,74
1550004283,76,76
1550006193,75,75
1550008112,76,76
1550010020,77,77
1550011947,79,79
1550013871,80,80
1550015804,76,76
1550017701,76,76
1550019721,77,77
1550021557,79,79
1550023490,80,80
1550025403,80,80
1550027305,80,80
1550029234,80,80
1550031152,79,79
1550033060,79,79
1550035007,76,76
1550036909,75,75
1550038822,76,76
1550040785,79,79
1550042677,79,79
1550044613,80,80
1550046522,78,78
1550048459,78,78
1550050366,78,78
1550052299,76,76
1550054174,76,76
1550056363,76,76
1550058252,77,77
1550060203,74,74
1550062098,73,73
1550064055,78,78
1550065939,79,79
1550067898,82,82
1550069776,81,81
1550071700,81,81
1550073639,81,81
1550075560,85,85
1550077509,85,85
1550079394,87,87
1550081293,89,89
1550083219,89,89
1550085137,86,86
1550087077,86,86
1550088983,86,86
1550090889,84,84
1550092814,85,85
1550094741,83,83
1550096657,83,83
1550098616,98,98
1550100530,106,106
1550102460,113,113
1550104359,116,116
1550106280,119,119
1550108181,118,118
1550110120,116,116
1550112027,118,118
1550113947,121,121
1550115880,125,125
1550118043,125,125
1550119955,123,123
1550121871,130,130
1550123797,134,134
1550125696,132,132
1550127662,129,129
1550129659,131,131
1550131496,134,134
1550133394,136,136
1550135325,132,132
1550137216,132,132
1550139171,137,137
1550141061,137,137
1550142980,139,139
1550146847,139,139
1550148755,137,137
1550150663,135,135
1550152594,135,135
1550154496,137,137
1550156486,136,136
1550158484,136,136
1550160554,137,137
1550162412,134,134
1550164342,138,138
1550166291,136,136
1550168176,137,137
1550170100,137,137
1550172045,136,136
1550173946,138,138
1550175864,136,136
1550177799,138,138
1550179703,141,141
1550181678,142,142
1550184077,129,129
1550185965,124,124
1550187865,116,116
1550189785,109,109
1550191694,107,107
1550193617,104,104
1550195552,104,104
1550197482,103,103
1550199370,103,103
1550201335,100,100
1550203256,99,99
1550205139,102,102
1550207102,104,104
1550208973,98,98
1550210894,96,96
1550212841,102,102
1550214752,105,105
1550216657,103,103
1550218579,102,102
1550220517,106,106
1550222431,104,104
1550224359,107,107
1550226257,104,104
1550228174,106,106
1550230120,105,105
1550232032,107,107
1550233948,106,106
1550235894,110,110
1550237772,110,110
1550239704,106,106
1550241641,105,105
1550243559,107,107
1550245462,108,108
1550247405,107,107
1550249315,108,108
1550251269,106,106
1550253138,108,108
1550255300,109,109
1550257277,111,111
1550259164,111,111
1550261084,116,116
1550263006,116,116
1550264925,116,116
1550266814,116,116
1550268745,121,121
1550270658,124,124
1550272838,511,511
1550274747,1652,1652
1550276682,3248,3248
1550278571,3801,3801
1550280624,3808,3808
1550282465,3808,3808
1550284338,3809,3809
1550286302,3810,3810
1550288199,3811,3811
1550290092,3810,3810
1550292013,3809,3809
1550293941,3808,3808
1550295852,3813,3813
1550297796,3810,3810
1550299701,3807,3807
1550301635,3805,3805
1550303573,3806,3806
1550305470,3806,3806
1550307393,3804,3804
1550309292,3803,3803
1550312175,3803,3803
1550314098,3799,3799
1550316041,3801,3801
1550317971,3801,3801
1550319856,3806,3806
1550321784,3802,3802
1550323700,3802,3802
1550325647,3801,3801
1550327536,3802,3802
1550329486,3802,3802
1550331370,3802,3802
1550333214,3800,3800
1550335240,3801,3801
1550337505,3801,3801
1550339861,3796,3796
1550341952,3798,3798
1550343883,3799,3799
1550346069,3799,3799
1550347954,3798,3798
1550349857,3800,3800
1550351818,3797,3797
1550353696,3791,3791
1550355617,3788,3788
1550358342,3787,3787
1550360452,2759,2759
1550362374,1392,1392
1550364293,110,110
1550366205,101,101
1550368100,101,101
1550370051,100,100
1550371951,101,101
1550373864,99,99
1550375809,101,101
1550377722,100,100
1550379749,104,104
1550381573,103,103
1550383548,97,97
1550385411,100,100
1550387328,106,106
1550389231,108,108
1550391164,107,107
1550393067,109,109
1550394997,110,110
1550396906,106,106
1550398847,107,107
1550400746,106,106
1550402676,106,106
1550404604,108,108
1550406523,104,104
1550408504,105,105
1550412290,108,108
1550414194,110,110
1550416125,112,112
1550418023,109,109
1550419954,109,109
1550421862,108,108
1550423809,1109,1109
1550425813,1107,1107
1550427738,1108,1108
1550429575,1107,1107
1550433409,1107,1107
1550435316,1106,1106
1550437309,1107,1107
1550439149,1106,1106
1550441107,1105,1105
1550442984,1107,1107
1550445157,1106,1106
1550447068,1103,1103
1550449263,1104,1104
1550451162,1105,1105
1550453075,1108,1108
1550455012,1110,1110
1550456898,1108,1108
1550458945,1109,1109
1550460780,1108,1108
1550462679,1108,1108
1550464611,1110,1110
1550466507,1112,1112
1550468437,1112,1112
1550470358,1112,1112
1550472287,1110,1110
1550474186,1108,1108
1550476109,1106,1106
1550478045,1107,1107
1550479956,1107,1107
1550481870,1106,1106
1550483804,1105,1105
1550485727,1104,1104
1550487747,1105,1105
1550489568,1103,1103
1550491537,1102,1102
1550493395,1107,1107
1550495308,1109,1109
1550497238,1108,1108
1550499155,1106,1106
1550501088,1104,1104
1550502988,1106,1106
1550504913,1106,1106
1550506721,1105,1105
1550508525,1106,1106
1550510444,91,91
1550514285,92,92
1550516496,91,91
1550518373,92,92
1550520432,94,94
1550522430,97,97
1550524341,97,97
1550528192,95,95
1550530098,94,94
1550532030,95,95
1550535860,94,94
1550539710,93,93
1550541722,91,91
1550543545,91,91
1550545519,91,91
1550547396,90,90
1550549551,87,87
1550551463,85,85
1550553396,84,84
1550555300,87,87
