DateTime,Entries,UniqueIPs
1549862697,1500,1500
1549864583,1482,1482
1549866754,1482,1482
1549868690,1469,1469
1549870586,1454,1454
1549872514,1447,1447
1549874457,1430,1430
1549876367,1422,1422
1549878267,1418,1418
1549880216,1416,1416
1549882108,1403,1403
1549884223,1396,1396
1549886530,1395,1395
1549888354,1389,1389
1549890282,1364,1364
1549892231,1354,1354
1549894124,1350,1350
1549896106,1348,1348
1549897994,1351,1351
1549899890,1338,1338
1549901793,1310,1310
1549903725,1315,1315
1549905652,1312,1312
1549907554,1330,1330
1549909510,1349,1349
1549911391,1360,1360
1549913569,1368,1368
1549915740,2271,2271
1549917638,2274,2274
1549919568,2263,2263
1549921474,2280,2280
1549923408,2279,2279
1549925330,2276,2276
1549927297,2280,2280
1549929154,2283,2283
1549931072,2277,2277
1549933019,2287,2287
1549934907,2294,2294
1549936938,2284,2284
1549938784,2285,2285
1549940751,2295,2295
1549942839,2309,2309
1549944766,2310,2310
1549946692,2321,2321
1549948592,2325,2325
1549950772,2346,2346
1549952682,2353,2353
1549954734,2371,2371
1549956760,2372,2372
1549958702,2395,2395
1549960605,2406,2406
1549962516,2413,2413
1549964483,2403,2403
1549966380,2388,2388
1549968273,2404,2404
1549970220,2414,2414
1549972134,2414,2414
1549974058,2430,2430
1549975978,2437,2437
1549977872,2446,2446
1549979821,2442,2442
1549981729,2441,2441
1549983768,2431,2431
1549986813,2454,2454
1549988917,2454,2454
1549990922,2453,2453
1549992766,2455,2455
1549994695,2442,2442
1549996615,2438,2438
1549998553,2429,2429
1550000425,1527,1527
1550002354,1519,1519
1550004286,1522,1522
1550006196,1514,1514
1550008115,1509,1509
1550010023,1530,1530
1550011950,1545,1545
1550013874,1542,1542
1550015807,1568,1568
1550017704,1577,1577
1550019724,1570,1570
1550021559,1572,1572
1550023493,1582,1582
1550025405,1592,1592
1550027320,1587,1587
1550029236,1596,1596
1550031154,1612,1612
1550033063,1619,1619
1550035013,1604,1604
