DateTime,Entries,UniqueIPs
1549463570,17,17
1549467645,19,19
1549469543,18,18
1549471720,18,18
1549475794,19,19
1549478117,18,18
1549480135,19,19
1549482220,20,20
1549484190,21,21
1549486114,19,19
1549489960,20,20
1549491862,21,21
1549493810,20,20
1549495705,21,21
1549499850,22,22
1549501725,22,22
1549511550,23,23
1549513471,23,23
1549515412,25,25
1549517308,25,25
1549519339,26,26
1549523100,27,27
1549524989,26,26
1549530744,27,27
1549536759,26,26
1549538681,24,24
1549540611,23,23
1549544542,23,23
1549552148,22,22
1549554033,21,21
1549557895,20,20
1549560076,21,21
1549561983,21,21
1549565807,19,19
1549569717,18,18
1549571575,17,17
1549577342,15,15
1549581190,16,16
1549587153,15,15
1549595148,16,16
1549599157,14,14
1549601072,14,14
1549602999,13,13
1549604932,12,12
1549606853,13,13
1549610939,12,12
1549612955,13,13
1549614759,14,14
1549618592,15,15
1549620509,19,19
1549622444,19,19
1549624355,20,20
1549626265,22,22
1549630367,24,24
1549632285,27,27
1549638111,28,28
1549639987,30,30
1549641883,31,31
1549643791,32,32
1549645726,33,33
1549647632,34,34
1549649551,34,34
1549651487,36,36
1549653399,37,37
1549657256,38,38
1549666944,37,37
1549668759,37,37
1549672599,36,36
1549678352,37,37
1549680268,38,38
1549684115,40,40
1549687940,39,39
1549693731,40,40
1549695756,41,41
1549699495,40,40
1549701385,39,39
1549703316,40,40
1549705259,38,38
1549707169,35,35
1549709073,34,34
1549710995,37,37
1549712916,35,35
1549714858,36,36
1549716765,34,34
1549718689,31,31
1549722785,31,31
1549724670,32,32
1549726586,31,31
1549728582,30,30
1549730433,30,30
1549732380,28,28
1549734269,27,27
1549736182,26,26
1549738123,23,23
1549743870,22,22
1549749710,24,24
1549756118,24,24
1549759945,25,25
1549765969,25,25
1549767896,23,23
1549769807,22,22
1549771733,21,21
1549773651,20,20
1549777475,21,21
1549779406,20,20
1549781313,19,19
1549783248,19,19
1549790927,17,17
1549794754,18,18
1549796692,18,18
1549798858,18,18
1549802677,16,16
1549806525,18,18
1549808454,17,17
1549810356,15,15
1549814206,16,16
1549816119,15,15
1549819957,16,16
1549835332,15,15
1549837247,14,14
1549839158,15,15
1549842992,14,14
1549846921,13,13
1549848781,14,14
1549852604,14,14
1549858856,15,15
1549864585,14,14
1549870588,13,13
1549872516,14,14
1549874460,17,17
1549878270,18,18
1549880218,18,18
1549882110,17,17
1549886544,16,16
1549892234,15,15
1549896108,16,16
1549899906,16,16
1549905654,18,18
1549907556,18,18
1549921476,19,19
1549925332,18,18
1549929156,19,19
1549933022,20,20
1549934910,20,20
1549936941,21,21
1549938788,21,21
1549940756,22,22
1549942843,24,24
1549944769,24,24
1549946694,25,25
1549948594,26,26
1549958705,26,26
1549960606,25,25
1549962518,23,23
1549964485,22,22
1549966382,21,21
1549968275,19,19
1549977874,19,19
1549981731,18,18
1549986815,17,17
1549990924,16,16
1549992768,15,15
1549994697,15,15
1550000434,16,16
1550002356,17,17
1550008128,17,17
1550010025,18,18
1550011952,19,19
1550013876,20,20
1550015809,19,19
1550017706,20,20
1550019727,23,23
1550021561,22,22
1550023497,22,22
1550025407,21,21
1550027322,21,21
1550029238,21,21
1550031156,20,20
1550033065,20,20
1550035015,22,22
1550038827,23,23
1550040790,24,24
1550042682,26,26
1550046527,26,26
1550048519,27,27
1550050374,30,30
1550052308,33,33
1550054189,35,35
1550058257,36,36
1550060211,37,37
1550064059,39,39
1550065943,44,44
1550081303,43,43
1550087082,41,41
1550090903,42,42
1550094755,41,41
1550096667,39,39
1550100535,40,40
1550102470,41,41
1550104365,40,40
1550106294,40,40
1550110130,40,40
1550112032,39,39
1550113953,40,40
1550115886,41,41
1550118054,41,41
1550119961,39,39
1550121877,38,38
1550123807,39,39
1550125701,39,39
1550127728,41,41
1550129669,39,39
1550131504,40,40
1550133400,40,40
1550135333,38,38
1550137221,37,37
1550139176,41,41
1550141068,41,41
1550144921,39,39
1550150686,37,37
1550152599,33,33
1550158489,34,34
1550160560,35,35
1550168182,37,37
1550172051,38,38
1550177804,37,37
1550179708,38,38
