DateTime,AddedIPs,RemovedIPs
1549565812,1,0
1549569724,2,0
1549571580,1,0
1549573505,0,1
1549575402,1,0
1549585254,2,0
1549591333,1,1
1549593181,1,0
1549595154,0,1
1549596993,0,3
1549599162,1,0
1549603009,1,1
1549604938,1,0
1549606858,0,2
1549608780,1,0
1549610944,1,1
1549612960,3,0
1549614777,1,2
1549616716,1,1
1549618597,0,2
1549620515,1,1
1549622449,2,1
1549624360,3,1
1549626270,0,1
1549628489,3,0
1549630372,1,0
1549632291,0,2
1549636131,0,1
1549638116,1,2
1549641888,2,1
1549643796,0,4
1549645730,0,1
1549647636,3,0
1549649559,3,1
1549651492,1,0
1549653404,1,2
1549655319,1,2
1549659171,0,1
1549661077,1,1
1549672604,2,2
1549674528,2,0
1549676436,0,1
1549680272,1,1
1549684124,2,0
1549686053,0,1
1549691791,0,2
1549695761,1,1
1549697583,1,1
1549699500,0,4
1549703322,1,1
1549705264,0,1
1549709078,1,2
1549711007,0,3
1549712921,1,1
1549714863,0,2
1549716770,2,1
1549718693,1,0
1549720597,3,0
1549722790,2,0
1549724675,1,1
1549726590,1,0
1549728586,0,2
1549732385,3,0
1549734273,1,3
1549736187,0,2
1549738128,0,1
1549740029,1,1
1549741986,1,0
1549745819,1,0
1549747710,2,1
1549749715,3,0
1549752318,1,0
1549754240,1,0
1549756123,1,0
1549758045,0,1
1549759950,0,2
1549761904,1,1
1549765974,2,2
1549767900,1,0
1549771738,0,2
1549777480,1,0
1549781318,0,1
1549783253,1,0
1549785189,0,1
1549787085,2,0
1549789012,1,1
1549790932,1,0
1549796699,1,1
1549800789,2,1
1549802694,0,1
1549804668,3,0
1549806545,3,2
1549808459,1,2
1549810361,2,3
1549812277,0,2
1549816136,5,0
1549818132,1,1
1549819961,3,3
1549823791,1,0
1549825725,1,0
1549827669,3,2
1549831483,2,2
1549835336,2,4
1549837252,0,1
1549839163,1,1
1549841101,0,1
1549842997,1,1
1549846927,1,0
1549848786,1,1
1549850718,1,0
1549852611,0,2
1549856683,2,0
1549860774,5,0
1549864590,1,2
1549868697,1,1
1549872521,0,1
1549874465,3,2
1549876374,0,1
1549878275,1,0
1549880224,3,0
1549882115,2,1
1549884230,11,0
1549886550,2,2
1549888362,2,0
1549890299,2,1
1549892253,2,4
1549894139,3,1
1549896114,2,1
1549898000,1,0
1549899921,0,1
1549901808,1,4
1549903740,2,2
1549905659,2,3
1549907561,2,0
1549909517,2,1
1549911407,1,0
1549913585,0,2
1549915749,0,1
1549917645,1,2
1549921481,1,1
1549925337,3,1
1549929161,1,1
1549931079,1,0
1549933028,4,0
1549934922,0,1
1549936946,0,2
1549942856,0,1
1549944782,1,1
1549946699,2,5
1549948599,0,2
1549952689,1,0
1549956776,1,2
1549960611,2,3
1549962523,1,0
1549964490,3,1
1549966394,2,2
1549968280,2,1
1549970227,2,13
1549972155,1,0
1549974066,1,3
1549977879,0,2
1549979827,2,3
1549981745,2,1
1549983776,2,2
1549986821,0,2
1549988937,0,1
1549990929,1,2
1549992795,1,1
1549994704,3,3
1549996630,1,2
1550002360,1,0
1550004301,0,1
1550006213,2,0
1550008141,1,1
1550010030,1,0
1550011965,2,3
1550013881,3,0
1550015822,0,2
1550017712,0,1
1550019733,1,4
1550023512,2,0
1550031160,0,1
