DateTime,AddedIPs,RemovedIPs
1549862707,35,31
1549864591,23,29
1549866762,24,31
1549868698,24,35
1549870593,24,52
1549872522,23,23
1549874466,24,38
1549876375,25,27
1549878275,23,45
1549880224,35,26
1549882116,23,31
1549884231,33,39
1549886551,29,48
1549888362,25,559
1549890300,32,49
1549892254,35,36
1549894141,36,31
1549896114,35,26
1549898001,44,39
1549899923,42,27
1549901809,39,26
1549903741,57,1481
1549905660,45,140
1549907562,60,35
1549909517,52,37
1549911408,59,26
1549913586,55,49
1549915750,55,35
1549917645,31,54
1549919576,42,28
1549921482,32,35
1549923416,53,59
1549925338,29,42
1549927304,40,38
1549929162,29,31
1549931080,34,34
1549933030,36,32
1549934923,27,37
1549936947,43,29
1549938795,38,36
1549940762,29,28
1549942857,33,45
1549944782,44,41
1549946700,32,46
1549948600,28,40
1549950788,36,39
1549952690,30,30
1549954742,31,27
1549956777,31,32
1549958713,32,43
1549960612,25,35
1549962523,27,26
1549964491,21,42
1549966395,32,40
1549968281,18,32
1549970228,28,39
1549972156,20,42
1549974067,24,29
1549975986,22,39
1549977879,30,51
1549979828,19,31
1549981746,32,32
1549983777,26,33
1549986822,67,61
1549988937,43,36
1549990930,37,51
1549992796,27,32
1549994705,32,49
1549996631,34,32
1549998561,28,34
1550000439,20,34
1550002361,44,48
1550004301,52,37
1550006214,50,31
1550008141,43,54
1550010031,44,33
1550011965,42,42
1550013882,31,35
1550015823,36,32
1550017712,30,36
1550019734,38,47
1550021567,28,33
1550023513,46,48
1550025414,35,41
1550027326,34,46
1550029244,42,45
1550031161,28,36
1550033082,26,43
1550035029,40,35
1550036930,32,46
1550038834,34,35
1550040803,35,42
1550042696,31,45
1550044626,28,34
1550046534,28,31
1550048529,31,29
1550050388,29,30
1550052316,33,30
1550054195,27,33
1550056396,43,50
1550058263,30,32
1550060217,28,36
1550062113,32,27
1550064079,39,32
1550065949,33,26
1550067916,20,36
1550069787,34,28
1550071711,28,29
1550073732,30,53
1550075570,29,50
1550077524,33,34
1550079407,37,29
1550081308,40,32
1550083236,41,38
1550085168,41,29
1550087088,37,33
1550089001,44,41
1550090909,40,40
1550092825,53,32
1550094769,50,39
1550096674,41,42
1550098630,31,45
1550100541,33,49
1550102476,37,48
1550104370,23,38
1550106300,35,42
1550108192,35,25
1550110137,27,37
1550112038,25,26
1550113958,36,29
1550115891,21,39
1550118061,34,45
1550119967,23,44
1550121883,29,42
1550123814,43,41
1550125706,34,40
1550127743,31,37
1550129676,42,41
1550131511,21,29
1550133406,22,28
1550135339,24,33
1550137226,33,28
1550139182,24,29
1550141073,36,27
1550143010,36,45
1550144926,24,45
1550146857,29,28
1550148770,29,35
1550150692,32,33
1550152608,30,44
1550154506,25,26
1550156501,29,36
1550158495,30,29
1550160567,29,40
1550162429,20,26
1550164366,22,28
1550166304,26,31
1550168192,23,34
1550170110,30,54
1550172070,29,39
1550173957,16,33
1550175874,71,45
1550177809,68,34
1550179713,58,35
1550181697,50,40
1550184101,78,37
1550185975,65,35
1550187876,42,43
1550189798,58,36
1550191707,43,44
1550193628,54,40
1550195566,159,49
1550197495,152,37
1550199382,89,35
1550201354,85,26
1550203322,71,38
1550205149,61,44
1550207114,55,38
1550208984,61,43
1550210911,66,39
1550212851,51,36
1550214762,50,51
1550216668,54,38
1550218591,44,42
1550220531,33,40
1550222456,42,29
1550224369,32,48
1550226267,35,29
1550228185,36,42
1550230160,38,34
1550232096,28,37
1550233961,24,32
1550235916,39,35
1550237785,39,36
1550239714,30,41
1550241654,32,47
1550243583,35,37
1550245473,37,45
1550247419,36,43
1550249326,27,35
1550251281,35,39
1550253155,27,25
1550255324,33,56
1550257329,38,51
1550259199,32,35
1550261104,28,31
1550263019,34,42
1550264952,663,49
1550266837,1411,40
1550268767,1415,35
1550270669,1576,38
1550272849,1698,35
1550274759,1529,24
1550276694,1523,30
1550278582,302,13
1550280642,28,52
1550282526,15,151
1550284366,11,107
1550286351,17,76
1550288210,15,50
1550290118,26,59
1550292023,25,39
1550293952,14,40
1550295863,18,53
1550297810,12,43
1550299712,23,42
1550301646,21,36
1550303587,12,29
1550305484,21,19
1550307407,14,20
1550309319,14,25
1550311299,17,26
1550313172,10,22
1550315340,26,19
1550317491,26,23
1550319418,27,16
1550321324,15,21
1550323255,9,22
1550325182,15,19
1550327068,15,14
1550328979,16,19
1550330944,17,21
1550332934,11,13
1550334765,10,16
1550336691,24,13
1550338911,29,29
1550340813,20,30
1550342675,16,21
1550344593,14,19
1550346526,20,9
1550348435,15,25
1550350391,15,208
1550352279,21,1142
1550354188,33,1535
1550356126,35,1548
1550358355,48,1739
1550360463,51,1786
1550362385,46,1526
1550364309,44,927
1550366215,48,41
1550368111,39,31
1550370063,50,40
1550371962,44,40
1550373874,41,47
1550375820,40,31
1550377746,37,26
1550379759,35,34
1550381595,44,35
1550383561,34,27
1550385422,36,26
1550387340,46,44
1550389241,40,37
1550391174,36,37
1550393078,56,26
1550395009,34,29
1550396916,42,34
1550398859,38,35
1550400757,39,20
1550402686,30,39
1550404614,36,34
1550406534,42,38
1550408516,49,35
1550410384,35,21
1550412304,41,26
1550414204,71,31
1550416136,51,38
1550418034,61,37
1550419979,56,28
1550421873,42,32
1550423821,1436,35
1550425925,323,34
1550427779,198,30
1550429586,33,24
1550431477,69,26
1550433423,90,28
1550435329,112,32
1550437322,109,40
1550439160,84,37
1550441122,106,33
1550442997,84,27
1550445172,75,41
1550447082,71,33
1550449276,70,35
1550451178,57,29
1550453093,47,30
1550455024,40,27
1550456913,40,30
1550458974,47,38
1550460807,38,18
1550462715,41,17
1550464623,43,35
1550466519,50,30
1550468448,33,29
1550470371,44,22
1550472300,43,24
1550474198,579,35
1550476121,427,27
1550478057,884,27
1550479984,941,37
1550481882,843,20
1550483817,877,27
1550485754,896,22
1550487761,1033,20
1550489584,820,16
1550491559,827,27
1550493408,778,21
1550495334,837,21
1550497265,803,29
1550499169,777,19
1550501102,868,26
1550503015,847,31
1550504926,109,25
1550506737,19,17
1550508538,15,13
1550510473,18,1046
1550512360,21,182
1550514298,21,181
1550516514,24,19
1550518385,15,27
1550520457,25,36
1550522446,13,43
1550524355,23,40
1550526291,24,35
1550528207,18,32
1550530110,16,47
1550532042,26,40
1550533983,14,37
1550535880,19,33
1550537811,28,42
1550539722,16,32
1550541751,16,41
1550543569,18,26
1550545536,20,35
1550547407,20,36
1550549562,17,36
1550551474,18,36
1550553407,28,34
1550555310,15,30
1550557256,22,29
1550559158,14,26
1550561107,16,356
1550562983,13,947
1550564913,19,893
1550566727,27,937
1550568750,17,927
1550570704,23,896
1550572608,16,1047
1550574552,13,920
1550576471,7,910
1550578388,15,867
1550580307,44,877
1550582231,60,886
1550584125,50,823
1550586055,94,862
1550588003,80,927
1550589893,95,722
1550591806,45,33
1550593711,56,30
1550595723,77,31
1550597554,58,25
1550599612,64,47
1550601643,80,35
1550603580,73,34
1550605477,56,31
1550607398,66,36
1550609562,60,26
1550611473,58,32
1550613431,67,27
1550615567,58,31
1550617521,49,41
1550619418,41,31
1550621339,39,35
1550623227,37,37
1550625155,37,31
1550627070,36,23
1550629013,30,30
1550630930,30,25
1550632883,49,40
1550634767,34,32
1550636694,30,31
1550638625,28,39
1550640541,25,39
1550642556,35,44
1550644411,34,37
1550646344,24,37
1550648486,44,38
1550650516,25,36
1550652529,59,43
1550654481,53,44
1550656394,25,34
1550658301,27,37
1550660212,18,22
1550662121,25,16
1550664139,28,15
1550665986,25,13
1550667909,21,28
1550669824,25,21
1550671997,21,46
1550673912,24,32
1550675814,24,38
1550677744,27,27
1550680149,35,33
1550682200,42,30
1550684227,48,39
1550686113,35,25
1550688045,31,43
1550689954,40,44
1550691882,32,34
1550693840,54,32
1550695717,40,30
1550697639,54,35
1550699571,42,22
1550701495,38,45
1550703400,51,33
1550705347,35,26
1550707379,42,33
1550709410,26,37
1550711582,34,32
1550713463,30,23
1550715390,18,23
1550717335,37,39
1550719230,23,44
1550721144,27,29
1550723107,24,33
1550724988,21,37
1550727156,29,28
1550729115,32,35
1550731032,24,44
1550732912,28,31
1550734860,20,42
1550736757,21,23
1550738678,24,55
1550740854,22,67
1550742766,20,36
1550744684,24,26
1550746590,19,28
1550748778,37,24
1550750709,25,32
1550752602,33,28
1550754756,29,36
1550756667,24,36
1550758621,32,29
1550760796,17,32
1550762665,20,28
1550764612,21,45
1550766501,32,17
1550768513,22,34
1550770373,30,30
1550772295,24,30
1550774184,24,28
1550776125,38,39
1550778056,18,24
1550779963,24,31
1550781876,21,27
1550783827,20,40
1550785729,26,39
1550787652,29,34
1550789543,41,39
1550792498,66,62
1550794378,41,23
1550796205,28,37
1550798194,31,40
1550800116,39,38
1550802049,35,34
1550803969,42,37
1550805928,36,40
1550807818,45,46
1550809959,37,42
1550811915,42,44
1550813845,40,49
1550815736,32,45
1550817646,30,47
1550819594,37,39
1550821510,32,56
1550823656,31,51
1550825627,25,48
1550827492,29,53
1550829418,20,52
1550831324,26,60
1550833364,29,71
