DateTime,Entries,UniqueIPs
1549862707,8380,8380
1549864591,8374,8374
1549866762,8367,8367
1549868698,8356,8356
1549870593,8328,8328
1549872522,8328,8328
1549874466,8314,8314
1549876375,8312,8312
1549878275,8290,8290
1549880224,8299,8299
1549882116,8291,8291
1549884231,8285,8285
1549886551,8266,8266
1549888362,7732,7732
1549890300,7715,7715
1549892254,7714,7714
1549894141,7719,7719
1549896114,7728,7728
1549898001,7733,7733
1549899923,7748,7748
1549901809,7761,7761
1549903741,6337,6337
1549905660,6242,6242
1549907562,6267,6267
1549909517,6282,6282
1549911408,6315,6315
1549913586,6321,6321
1549915750,6341,6341
1549917645,6318,6318
1549919576,6332,6332
1549921482,6329,6329
1549923416,6323,6323
1549925338,6310,6310
1549927304,6312,6312
1549929162,6310,6310
1549931080,6310,6310
1549933030,6314,6314
1549934923,6304,6304
1549936947,6318,6318
1549938795,6320,6320
1549940762,6321,6321
1549942857,6309,6309
1549944782,6312,6312
1549946700,6298,6298
1549948600,6286,6286
1549950788,6283,6283
1549952690,6283,6283
1549954742,6287,6287
1549956777,6286,6286
1549958713,6275,6275
1549960612,6265,6265
1549962523,6266,6266
1549964491,6245,6245
1549966395,6237,6237
1549968281,6223,6223
1549970228,6212,6212
1549972156,6190,6190
1549974067,6185,6185
1549975986,6168,6168
1549977879,6147,6147
1549979828,6135,6135
1549981746,6135,6135
1549983777,6128,6128
1549986822,6134,6134
1549988937,6141,6141
1549990930,6127,6127
1549992796,6122,6122
1549994705,6105,6105
1549996631,6107,6107
1549998561,6101,6101
1550000439,6087,6087
1550002361,6083,6083
1550004301,6098,6098
1550006214,6117,6117
1550008141,6106,6106
1550010031,6117,6117
1550011965,6117,6117
1550013882,6113,6113
1550015823,6117,6117
1550017712,6111,6111
1550019734,6102,6102
1550021567,6097,6097
1550023513,6095,6095
1550025414,6089,6089
1550027326,6077,6077
1550029244,6074,6074
1550031161,6066,6066
1550033082,6049,6049
1550035029,6054,6054
1550036930,6040,6040
1550038834,6039,6039
1550040803,6032,6032
1550042696,6018,6018
1550044626,6012,6012
1550046534,6009,6009
1550048529,6011,6011
1550050388,6010,6010
1550052316,6013,6013
1550054195,6007,6007
1550056396,6000,6000
1550058263,5998,5998
1550060217,5990,5990
1550062113,5995,5995
1550064079,6002,6002
1550065949,6009,6009
1550067916,5993,5993
1550069787,5999,5999
1550071711,5998,5998
1550073732,5975,5975
1550075570,5954,5954
1550077524,5953,5953
1550079407,5961,5961
1550081308,5969,5969
1550083236,5972,5972
1550085168,5984,5984
1550087088,5988,5988
1550089001,5991,5991
1550090909,5991,5991
1550092825,6012,6012
1550094769,6023,6023
1550096674,6022,6022
1550098630,6008,6008
1550100541,5992,5992
1550102476,5981,5981
1550104370,5966,5966
1550106300,5959,5959
1550108192,5969,5969
1550110137,5959,5959
1550112038,5958,5958
1550113958,5965,5965
1550115891,5947,5947
1550118061,5936,5936
1550119967,5915,5915
1550121883,5902,5902
1550123814,5904,5904
1550125706,5898,5898
1550127743,5892,5892
1550129676,5893,5893
1550131511,5885,5885
1550133406,5879,5879
1550135339,5870,5870
1550137226,5875,5875
1550139182,5870,5870
1550141073,5879,5879
1550143010,5870,5870
1550144926,5849,5849
1550146857,5850,5850
1550148770,5844,5844
1550150692,5843,5843
1550152608,5829,5829
1550154506,5828,5828
1550156501,5821,5821
1550158495,5822,5822
1550160567,5811,5811
1550162429,5805,5805
1550164366,5799,5799
1550166304,5794,5794
1550168192,5783,5783
1550170110,5759,5759
