DateTime,Entries,UniqueIPs
1549862708,2422,2422
1549864592,2313,2313
1549866763,2212,2212
1549868699,2211,2211
1549870594,2199,2199
1549872523,2204,2204
1549874467,2212,2212
1549876376,2212,2212
1549878276,2212,2212
1549880226,2207,2207
1549882117,2215,2215
1549884232,2213,2213
1549886552,2232,2232
1549888364,2213,2213
1549890302,2201,2201
1549892255,2205,2205
1549894143,2189,2189
1549896115,2173,2173
1549898002,2181,2181
1549899926,2184,2184
1549901810,2189,2189
1549903742,2196,2196
1549905661,2204,2204
1549907563,2216,2216
1549909518,2298,2298
1549911409,2313,2313
1549913588,2318,2318
1549915751,2315,2315
1549917646,2316,2316
1549919577,2316,2316
1549921483,2337,2337
1549923417,2341,2341
1549925339,2356,2356
1549927305,2363,2363
1549929163,2365,2365
1549931081,2384,2384
1549933032,2404,2404
1549934924,2439,2439
1549936948,2446,2446
1549938799,2440,2440
1549940763,2440,2440
1549942860,2428,2428
1549944784,2415,2415
1549946701,2414,2414
1549948601,2413,2413
1549950790,2403,2403
1549952691,2396,2396
1549954743,2410,2410
1549956778,2381,2381
1549958714,2377,2377
1549960613,2372,2372
1549962524,2372,2372
1549964492,2383,2383
1549966396,2385,2385
1549968282,2379,2379
1549970230,2370,2370
1549972157,2374,2374
1549974069,2379,2379
1549975988,2390,2390
1549977880,2400,2400
1549979829,2404,2404
1549981748,2404,2404
1549983778,2419,2419
1549986836,2403,2403
1549988938,2387,2387
1549990931,2375,2375
1549992798,2366,2366
1549994706,2345,2345
1549996633,2263,2263
1549998562,2252,2252
1550000440,2249,2249
1550002362,2237,2237
1550004303,2242,2242
1550006215,2237,2237
1550008142,2238,2238
1550010032,2231,2231
1550011966,2213,2213
1550013883,2194,2194
1550015824,2172,2172
1550017713,2163,2163
1550019736,2159,2159
1550021568,2143,2143
1550023515,2143,2143
1550025415,2168,2168
1550027327,2171,2171
1550029245,2165,2165
1550031162,2161,2161
1550033085,2165,2165
1550035031,2157,2157
1550036932,2162,2162
1550038835,2173,2173
1550040804,2150,2150
1550042697,2160,2160
1550044628,2162,2162
1550046535,2166,2166
1550048533,2159,2159
1550050390,2152,2152
1550052317,2135,2135
1550054196,2135,2135
1550056398,2127,2127
1550058264,2121,2121
1550060218,2112,2112
1550062114,2094,2094
1550064081,2098,2098
1550065950,2108,2108
1550067918,2111,2111
1550069788,2087,2087
1550071714,2089,2089
1550073733,2098,2098
1550075571,2105,2105
1550077525,2110,2110
1550079408,2119,2119
1550081309,2115,2115
1550083237,2108,2108
