DateTime,Entries,UniqueIPs
1550147253,3647,3647
1550148162,3592,3592
1550150110,3556,3556
1550151785,3574,3574
1550153720,3614,3614
1550154906,3566,3566
1550156109,3560,3560
1550157304,3579,3579
1550158999,3544,3544
1550159797,3559,3559
1550160877,3534,3534
1550162569,3552,3552
1550165328,3635,3635
1550167024,3660,3660
1550168944,3666,3666
1550170597,3658,3658
1550171678,3659,3659
1550173254,3655,3655
1550175277,3653,3653
1550176145,3674,3674
1550177436,3660,3660
1550178647,3631,3631
1550179888,3616,3616
1550181034,3645,3645
1550182249,3657,3657
1550184154,3643,3643
1550185010,3657,3657
1550186157,3665,3665
1550187758,3629,3629
1550188613,3635,3635
1550189678,3604,3604
1550191358,3548,3548
1550193296,3567,3567
1550194986,3583,3583
1550196902,3626,3626
1550197735,3634,3634
1550198556,3605,3605
1550200258,3602,3602
1550201337,3620,3620
1550203001,3673,3673
1550204088,3678,3678
1550205759,3683,3683
1550206623,3704,3704
1550207754,3708,3708
1550209367,3666,3666
1550210204,3680,3680
1550211300,3679,3679
1550212116,3684,3684
1550213804,3671,3671
1550214961,3632,3632
1550215734,3638,3638
1550217412,3638,3638
1550218485,3587,3587
1550220103,3513,3513
1550221013,3516,3516
1550222079,3490,3490
1550222927,3495,3495
1550224078,3379,3379
1550225330,3412,3412
1550226509,3421,3421
1550227840,3427,3427
1550229303,3438,3438
1550230125,3443,3443
1550230966,3445,3445
1550232891,3422,3422
1550234153,3416,3416
1550235433,3421,3421
1550236485,3420,3420
1550238050,3394,3394
1550239565,3400,3400
1550241098,3397,3397
1550242609,3372,3372
1550243679,3377,3377
1550244973,3364,3364
1550246218,3351,3351
1550247293,3356,3356
1550248132,3400,3400
1550249442,3403,3403
1550250890,3406,3406
1550252097,3440,3440
1550253326,3458,3458
1550254548,3429,3429
1550255815,3426,3426
1550256948,3433,3433
1550258917,3471,3471
1550260596,3433,3433
1550262046,3432,3432
1550263558,3457,3457
1550265283,3458,3458
1550266971,3420,3420
1550267805,3442,3442
1550268895,3410,3410
1550270170,3388,3388
1550272491,3388,3388
1550276077,3278,3278
1550277707,3245,3245
1550279323,3199,3199
1550281372,3148,3148
1550282781,3152,3152
1550284136,3170,3170
1550285756,3121,3121
1550287726,3120,3120
1550288575,3094,3094
1550290494,3084,3084
1550292122,3064,3064
1550294091,3060,3060
1550294944,3064,3064
1550295771,3049,3049
1550297685,3042,3042
1550298948,3015,3015
1550300203,3021,3021
1550301357,2982,2982
1550302970,2945,2945
1550304358,2936,2936
1550305717,2959,2959
1550306555,2937,2937
1550308475,2934,2934
1550310155,2949,2949
1550311001,2961,2961
1550312088,2935,2935
1550312922,2940,2940
1550314240,2942,2942
1550315447,2948,2948
1550317367,2947,2947
1550318770,2935,2935
1550320134,2952,2952
1550321382,2914,2914
1550322651,2903,2903
1550323726,2914,2914
1550325792,2850,2850
1550326501,2855,2855
1550328354,2846,2846
1550329737,2843,2843
1550330928,2858,2858
1550332618,2818,2818
1550333755,2816,2816
1550335375,2769,2769
1550336217,2780,2780
1550337358,2743,2743
1550338966,2717,2717
1550340375,2714,2714
1550341539,2722,2722
1550342905,2689,2689
1550344249,2685,2685
1550346170,2658,2658
1550346995,2662,2662
1550348093,2646,2646
1550349295,2625,2625
1550350615,2591,2591
1550351758,2577,2577
1550353374,2538,2538
1550354199,2536,2536
1550355275,2512,2512
1550358948,2512,2512
1550360557,2510,2510
1550361413,2514,2514
1550362501,2658,2658
1550364171,2680,2680
1550366088,2641,2641
1550367780,2646,2646
1550369700,2691,2691
1550371395,2682,2682
1550373064,2662,2662
1550376381,2604,2604
1550378762,2597,2597
1550380476,2636,2636
1550382112,2654,2654
1550384083,2665,2665
1550384921,2698,2698
1550385762,2679,2679
1550387452,2680,2680
1550389377,2676,2676
1550390194,2691,2691
1550391273,2696,2696
1550392117,2705,2705
1550392969,2695,2695
1550393793,2716,2716
1550394896,2722,2722
1550396573,2709,2709
1550398475,2738,2738
1550400153,2706,2706
1550402086,2684,2684
1550403704,2638,2638
1550405702,2643,2643
1550407297,2632,2632
1550409303,2651,2651
1550410966,2688,2688
1550411808,2692,2692
1550412889,2701,2701
1550413713,2721,2721
1550414570,2700,2700
1550416475,2728,2728
1550418359,2729,2729
1550420102,2754,2754
1550421684,2722,2722
1550423378,2764,2764
1550425366,2819,2819
1550427294,2830,2830
1550428133,2830,2830
1550428965,2785,2785
1550430878,2790,2790
1550431723,2799,2799
1550432555,2721,2721
1550433947,2731,2731
1550435071,2758,2758
1550436351,2751,2751
1550438093,2732,2732
1550438915,2736,2736
1550440949,2687,2687
1550443839,2686,2686
1550445350,2690,2690
1550446120,2693,2693
1550448369,2729,2729
1550449552,2749,2749
1550450772,2750,2750
1550452241,2755,2755
1550454218,2757,2757
1550455859,2760,2760
1550457024,2774,2774
1550457835,2779,2779
1550458620,2781,2781
1550460528,2797,2797
1550462202,2820,2820
1550463281,2817,2817
1550464920,2846,2846
1550466652,2865,2865
1550468513,2888,2888
1550470262,2917,2917
1550472191,2972,2972
1550473015,2985,2985
1550474156,2976,2976
1550475684,2993,2993
1550476595,3020,3020
1550477794,3054,3054
1550479307,3062,3062
1550480202,3076,3076
1550481361,3086,3086
1550482958,3079,3079
1550484352,3129,3129
1550485853,3134,3134
1550487069,3152,3152
1550488249,3155,3155
1550489335,3164,3164
1550490666,3245,3245
1550491855,3221,3221
1550493061,3226,3226
1550495676,3266,3266
1550496518,3290,3290
1550497666,3290,3290
1550499294,3310,3310
1550500946,3295,3295
1550502649,3325,3325
1550503715,3337,3337
1550506488,3354,3354
1550508181,3348,3348
1550509852,3399,3399
1550511308,3411,3411
1550512621,3424,3424
1550513751,3450,3450
1550514954,3460,3460
1550515374,3464,3464
1550516197,3469,3469
1550517277,3492,3492
1550518127,3507,3507
1550519753,3525,3525
1550520893,3536,3536
1550521720,3561,3561
1550523153,3590,3590
1550524491,3634,3634
1550526167,3678,3678
1550527566,3689,3689
1550529107,3700,3700
1550529771,3716,3716
1550531698,3727,3727
1550532972,3637,3637
1550534194,3656,3656
1550535360,3684,3684
1550536546,3665,3665
1550538669,3640,3640
1550538910,3641,3641
1550539727,3662,3662
1550541040,3628,3628
1550542478,3622,3622
1550544159,3613,3613
1550545018,3633,3633
1550546085,3614,3614
1550546924,3621,3621
1550547783,3614,3614
1550548600,3621,3621
1550549764,3604,3604
1550551369,3617,3617
1550553059,3624,3624
1550554284,3593,3593
1550555813,3620,3620
1550556895,3600,3600
1550558459,3623,3623
1550560257,3643,3643
1550562160,3641,3641
1550563560,3615,3615
1550564922,3628,3628
1550567693,3581,3581
1550568627,3569,3569
1550570141,3588,3588
1550571282,3581,3581
1550572136,3594,3594
1550573456,3612,3612
1550574893,3620,3620
1550575716,3640,3640
1550576556,3636,3636
1550578498,3672,3672
1550579764,3697,3697
1550580996,3737,3737
1550582156,3741,3741
1550582941,3736,3736
1550583771,3735,3735
1550585705,3777,3777
1550586517,3802,3802
1550587841,3768,3768
1550589066,3779,3779
1550590345,3738,3738
1550591461,3727,3727
1550592881,3703,3703
1550594140,3675,3675
1550596262,3646,3646
1550598166,3664,3664
1550599573,3666,3666
1550600756,3680,3680
1550602596,3706,3706
1550603764,3692,3692
1550605356,3662,3662
1550606758,3659,3659
1550608134,3669,3669
1550609797,3689,3689
1550610955,3667,3667
1550612499,3661,3661
1550613969,3653,3653
1550615316,3666,3666
1550616654,3683,3683
1550618102,3697,3697
1550618916,3706,3706
1550619757,3647,3647
1550620607,3653,3653
1550621701,3656,3656
1550623380,3670,3670
1550624197,3673,3673
1550625300,3690,3690
1550626921,3741,3741
1550627806,3751,3751
1550628957,3769,3769
1550629719,3803,3803
1550631412,3834,3834
1550632583,3842,3842
1550633333,3857,3857
1550634168,3865,3865
1550635603,3858,3858
1550637712,3846,3846
1550639694,3842,3842
1550641393,3794,3794
1550643280,3795,3795
1550644123,3800,3800
1550644958,3783,3783
1550646655,3761,3761
1550647734,3776,3776
1550649350,3730,3730
1550650480,3710,3710
1550651750,3701,3701
1550653022,3728,3728
1550654087,3721,3721
1550655367,3679,3679
1550656561,3687,3687
1550657771,3672,3672
1550659375,3674,3674
1550661300,3670,3670
1550662906,3646,3646
1550664213,3638,3638
1550665324,3645,3645
1550666505,3613,3613
1550668077,3618,3618
1550669341,3632,3632
1550670651,3657,3657
1550671859,3641,3641
1550673756,3600,3600
1550675463,3607,3607
1550677089,3576,3576
1550679656,3613,3613
1550681817,3655,3655
1550682894,3663,3663
1550684577,3658,3658
1550685980,3673,3673
1550687140,3710,3710
1550689007,3700,3700
1550690160,3722,3722
1550692237,3758,3758
1550693694,3737,3737
1550694608,3689,3689
1550695838,3678,3678
1550697052,3663,3663
1550697276,3666,3666
1550698973,3602,3602
1550699813,3635,3635
1550701814,3635,3635
1550702556,3648,3648
1550704505,3637,3637
1550706175,3594,3594
1550707007,3599,3599
1550708154,3650,3650
1550709706,3644,3644
1550711694,3645,3645
1550713378,3647,3647
1550715293,3640,3640
1550716973,3662,3662
1550717798,3664,3664
1550719720,3651,3651
1550721429,3598,3598
1550722482,3593,3593
1550724070,3581,3581
1550726079,3563,3563
1550727757,3583,3583
1550729692,3596,3596
1550730972,3591,3591
1550732784,3624,3624
1550733280,3635,3635
1550734136,3651,3651
1550735764,3665,3665
1550736887,3680,3680
1550738757,3722,3722
1550739398,3730,3730
1550740479,3744,3744
1550742157,3748,3748
1550742999,3780,3780
1550744153,3759,3759
1550745322,3744,3744
1550745773,3724,3724
1550747449,3726,3726
1550748956,3675,3675
1550750774,3557,3557
1550751955,3561,3561
1550753813,3544,3544
1550754898,3502,3502
1550756591,3459,3459
1550757415,3474,3474
1550758563,3420,3420
1550759340,3423,3423
1550760156,3395,3395
1550761012,3406,3406
1550762093,3399,3399
1550763760,3451,3451
1550765685,3469,3469
1550766946,3453,3453
1550769362,3484,3484
1550770558,3489,3489
1550771805,3492,3492
1550772878,3508,3508
1550774556,3494,3494
1550776249,3514,3514
1550778166,3519,3519
1550780095,3504,3504
1550780925,3507,3507
1550781761,3487,3487
1550783679,3499,3499
1550785026,3515,3515
1550786768,3510,3510
1550788116,3529,3529
1550789799,3560,3560
1550792572,3554,3554
1550794488,3607,3607
1550795743,3585,3585
1550796997,3564,3564
1550798097,3579,3579
1550798937,3602,3602
1550799775,3578,3578
1550801173,3537,3537
1550802678,3504,3504
1550803392,3495,3495
1550804223,3503,3503
1550805302,3479,3479
1550807167,3489,3489
1550808882,3494,3494
1550810508,3468,3468
1550812256,3482,3482
1550813319,3496,3496
1550814179,3466,3466
1550814996,3487,3487
1550816168,3485,3485
1550817712,3480,3480
1550818613,3492,3492
1550819754,3485,3485
1550820885,3481,3481
1550822072,3482,3482
1550823286,3459,3459
1550824135,3490,3490
1550824972,3450,3450
1550826881,3487,3487
1550827715,3497,3497
1550828559,3477,3477
1550830477,3497,3497
1550831331,3505,3505
1550832158,3487,3487
1550833010,3501,3501
1550834166,3494,3494
