DateTime,AddedIPs,RemovedIPs
1550148151,28,101
1550150099,86,124
1550151771,76,53
1550153457,70,39
1550154672,32,90
1550155853,27,30
1550157285,69,69
1550158991,56,99
1550159789,37,2
1550160867,31,92
1550162560,76,68
1550165319,133,67
1550167010,79,138
1550168141,22,36
1550168931,20,0
1550170587,51,94
1550171668,37,41
1550173242,67,77
1550175266,51,55
1550176132,32,0
1550177428,38,90
1550178637,28,92
1550179855,18,63
1550181025,67,25
1550182240,33,41
1550184146,38,49
1550185001,21,2
1550186140,41,42
1550187748,46,77
1550188603,17,0
1550189667,15,58
1550191349,44,122
1550193287,51,24
1550194978,65,56
1550196886,80,29
1550197720,21,2
1550198547,5,67
1550200249,33,22
1550201329,30,1
1550202989,114,103
1550204078,36,80
1550205750,53,77
1550206608,32,2
1550207735,27,40
1550209358,49,100
1550210197,36,1
1550211285,29,33
1550212107,10,0
1550213797,33,50
1550214945,24,71
1550215721,16,0
1550217399,57,56
1550218475,25,94
1550220087,47,109
1550221004,20,0
1550222068,24,63
1550222918,15,0
1550224061,49,291
1550225321,95,129
1550226498,29,0
1550227830,74,27
1550229293,83,60
1550230115,17,1
1550230957,70,57
1550232882,79,67
1550234137,52,67
1550235420,63,13
1550236475,61,41
1550238041,43,61
1550239549,82,59
1550241083,49,42
1550242600,48,43
1550243670,57,25
1550244957,28,54
1550246205,65,32
1550247284,35,37
1550248124,52,0
1550249434,52,41
1550250881,30,51
1550252080,78,58
1550253312,34,12
1550254537,21,61
1550255800,19,26
1550256930,37,12
1550258908,101,51
1550260588,47,67
1550262038,60,56
1550263543,81,70
1550265274,58,41
1550266963,35,506
1550267797,27,0
1550268886,21,547
1550270145,36,452
1550272483,56,57
1550276067,68,152
1550277690,24,58
1550279309,22,56
1550281364,35,84
1550282749,26,27
1550284127,34,0
1550285741,26,70
1550287717,33,30
1550288565,23,51
1550290481,40,31
1550292113,32,45
1550294081,28,22
1550294927,14,0
1550295763,12,40
1550297675,37,49
1550298927,31,66
1550300195,25,1
1550301348,15,70
1550302961,34,84
1550304345,50,59
1550305708,48,1
1550306546,18,53
1550308465,28,42
1550310146,52,46
1550310993,25,0
1550312080,26,71
1550312913,27,0
1550314231,40,46
1550315437,41,54
1550317358,55,70
1550318754,28,40
1550320125,28,2
1550321373,36,92
1550322642,44,47
1550323718,39,1
1550325773,74,144
1550326483,22,1
1550328345,60,77
1550329729,48,45
1550330919,41,0
1550332604,67,105
1550333737,28,32
1550335368,30,83
1550336204,30,0
1550337344,38,87
1550338958,34,81
1550340345,40,55
1550341530,28,1
1550342888,35,79
1550344241,25,35
1550346158,38,72
1550346986,17,0
1550348080,16,50
1550349282,18,35
1550350608,31,55
1550351737,30,30
1550353363,28,71
1550354190,10,0
1550355266,24,53
1550358938,90,93
1550360548,55,47
1550361404,17,0
1550362486,170,31
1550364162,60,46
1550366078,40,65
1550367771,58,54
1550369690,86,19
1550371381,70,79
1550373054,58,59
1550376367,85,151
1550378749,58,59
1550380467,100,52
1550382104,44,42
1550384074,43,29
1550384913,40,0
1550385753,23,62
1550387443,36,30
1550389362,44,69
1550390186,36,2
1550391264,33,29
1550392108,28,0
1550392961,25,40
1550393784,42,2
1550394888,62,70
1550396559,35,87
1550398466,80,41
1550400145,55,144
1550402077,65,64
1550403692,37,109
1550405686,70,74
1550407282,60,103
1550409295,72,80
1550410958,88,41
1550411799,18,1
1550412876,50,69
1550413705,46,0
1550414562,22,91
1550416467,85,76
1550418349,93,89
1550420092,86,39
1550421627,95,83
1550423362,118,59
1550425357,118,48
1550427279,57,48
1550428120,27,0
1550428956,35,105
1550430867,44,41
1550431715,25,0
1550432547,34,125
1550433937,84,49
1550435048,50,2
1550436341,35,54
1550438079,42,45
1550438905,17,0
1550440937,109,155
1550443830,83,43
1550445338,36,25
1550446112,16,2
1550448345,87,53
1550449543,38,1
1550450758,27,33
1550452233,37,24
1550454203,60,35
1550455844,39,29
1550457815,69,32
1550458611,23,0
1550460519,62,53
1550462192,56,47
1550463271,33,18
1550464899,62,36
1550466642,55,27
1550468449,84,37
1550470247,87,43
1550472177,107,31
1550473007,41,0
1550474141,47,52
1550475668,78,61
1550476586,56,0
1550477781,63,34
1550479285,85,61
1550480193,41,2
1550481350,49,35
1550482950,40,55
1550484344,107,54
1550485839,81,45
1550487059,59,0
1550488240,50,43
1550489327,40,0
1550490649,210,51
1550491846,163,56
1550493050,40,65
1550495665,110,79
1550496508,32,2
1550497641,34,57
1550499284,58,53
1550500937,37,98
1550502639,77,42
1550503707,23,3
1550506479,93,106
1550508173,41,54
1550509837,83,66
1550511296,67,58
1550512611,41,24
1550513738,49,27
1550514944,44,60
1550515358,13,12
1550516188,21,0
1550517267,50,37
1550518118,27,0
1550519743,63,34
1550520878,48,34
1550521713,46,1
1550523135,69,48
1550524482,68,23
1550526159,95,55
1550527551,70,50
1550529086,82,50
1550529763,36,0
1550531689,67,43
1550532957,27,119
1550534184,30,0
1550535350,88,54
1550536536,48,75
1550538655,65,81
1550538893,4,0
1550539719,34,0
1550541030,40,98
1550542468,51,47
1550544150,59,53
1550545005,32,0
1550546075,27,41
1550546915,34,0
1550547756,27,49
1550548591,31,0
1550549754,41,59
1550551360,70,49
1550553051,58,41
1550554270,42,59
1550555803,74,1
1550556887,47,57
1550558450,67,41
1550560248,87,46
1550562150,85,63
1550563550,45,63
1550564912,48,1
1550567683,349,148
1550568616,163,45
1550570131,550,0
1550571271,394,75
1550572129,289,0
1550573441,493,74
1550574883,460,34
1550575706,351,1
1550576547,340,86
1550578489,712,52
1550579753,170,40
1550580988,425,37
1550582139,373,39
1550582927,221,1
1550583762,341,83
1550585689,708,60
1550586508,300,2
1550587832,523,131
1550589051,411,64
1550590330,429,107
1550591446,442,37
1550592872,452,75
1550594130,420,120
1550596248,725,91
1550598157,556,87
1550599559,375,39
1550600748,390,1
1550602587,593,70
1550603744,261,58
1550605347,458,101
1550606744,322,44
1550608125,332,2
1550609788,404,58
1550610941,187,62
1550612491,47,57
1550613945,32,39
1550615308,38,0
1550616647,41,43
1550618079,37,16
1550618907,20,0
1550619748,21,92
1550620599,21,0
1550621693,46,48
1550623371,60,59
1550624188,11,1
1550625283,42,24
1550626906,95,52
1550627796,21,0
1550628946,40,29
1550629709,36,0
1550631402,68,52
1550632556,41,53
1550633324,20,0
1550634158,36,51
1550635575,54,63
1550637648,64,46
1550639685,49,82
1550641379,59,128
1550643270,53,56
1550644115,24,1
1550644949,28,78
1550646645,58,97
1550647724,32,1
1550649340,41,106
1550650470,29,68
1550651740,43,41
1550653007,59,11
1550654078,37,51
1550655351,44,112
1550656551,36,1
1550657761,40,74
1550659356,56,50
1550661290,67,78
1550662833,46,67
1550664177,40,67
1550665315,41,2
1550666444,44,69
1550668063,62,77
1550669327,34,2
1550670641,71,46
1550671850,31,55
1550673083,29,64
1550673747,17,29
1550675449,46,32
1550677065,34,72
1550679648,104,71
1550681804,137,83
1550682879,65,78
1550684566,51,85
1550685962,45,34
1550687130,57,0
1550688998,80,105
1550690143,55,53
1550692228,97,80
1550693679,49,83
1550694545,32,0
1550695829,31,123
1550697043,17,57
1550697267,3,0
1550698959,36,120
1550699804,44,0
1550701752,54,30
1550702547,31,45
1550704490,36,43
1550706167,26,92
1550706999,18,1
1550708132,72,31
1550709698,40,57
1550711678,47,37
1550713365,57,49
1550715284,34,46
1550716964,67,53
1550717789,12,0
1550719710,35,56
1550721412,29,106
1550722471,14,32
1550724061,28,60
1550726069,30,69
1550727748,84,86
1550729681,59,49
1550730957,42,75
1550732765,79,83
1550733270,20,0
1550734127,17,0
1550735751,48,68
1550736877,27,70
1550738745,95,172
1550739390,21,0
1550740469,75,279
1550742148,57,327
1550742990,51,2
1550744139,41,356
1550745312,31,334
1550745764,4,117
1550747440,81,282
1550748948,38,333
1550750758,39,533
1550751946,15,0
1550753804,125,480
1550754889,34,528
1550756583,60,691
1550757401,34,2
1550758554,22,386
1550759325,35,0
1550760147,19,697
1550761003,25,0
1550762083,23,383
1550763751,339,788
1550765676,50,437
1550766937,28,601
1550769348,88,706
1550770549,42,648
1550771795,47,322
1550772868,62,571
1550774548,66,1122
1550776241,52,702
1550778157,53,949
1550780086,45,1249
1550780917,20,0
1550781754,36,456
1550783670,50,32
1550785017,41,42
1550786754,46,52
1550788107,39,0
1550789789,66,42
1550792563,86,131
1550794479,97,26
1550795714,40,76
1550796988,31,39
1550798089,43,25
1550798926,37,0
1550799767,49,76
1550801163,20,59
1550802667,29,79
1550803382,24,27
1550804209,17,1
1550805283,17,50
1550807155,59,61
1550808871,55,42
1550810499,31,68
1550812247,50,33
1550813309,31,0
1550814166,21,78
1550814987,35,0
1550816152,26,29
1550817704,56,82
1550818605,84,1
1550819742,108,32
1550820864,89,63
1550822055,64,23
1550823277,100,72
1550824126,92,0
1550824963,60,96
1550826871,230,36
1550827707,48,1
1550828551,28,83
1550830468,91,37
1550831322,44,0
1550832148,38,90
1550833002,49,0
1550834152,75,57
