DateTime,AddedIPs,RemovedIPs
1549748898,19,0
1549750827,12,7
1549752755,9,12
1549754658,15,0
1549756573,10,20
1549758494,15,15
1549760436,9,0
1549764283,18,26
1549766190,11,13
1549768101,10,13
1549770009,11,6
1549771958,16,5
1549773849,15,0
1549775805,7,12
1549777690,11,0
1549779617,20,20
1549781549,13,0
1549783457,17,15
1549785367,14,17
1549787315,16,12
1549789217,9,0
1549791144,4,16
1549793077,11,0
1549794975,3,16
1549796893,12,0
1549798840,10,6
1549800757,13,0
1549802657,12,7
1549804633,19,6
1549806498,7,0
1549808432,5,0
1549810331,7,9
1549812248,16,6
1549814190,8,12
1549816086,10,0
1549818034,9,15
1549819936,17,0
1549821877,10,8
1549823770,5,0
1549825697,1,3
1549827631,9,6
1549829536,7,0
1549831459,13,13
1549833397,16,13
1549835313,18,11
1549837215,8,0
1549839132,9,0
1549841077,17,5
1549842965,13,6
1549844892,15,11
1549846834,10,2
1549848740,16,8
1549850677,13,1
1549852578,12,13
1549854760,17,0
1549856661,8,15
1549858836,11,0
1549860752,9,14
1549862675,15,9
1549864568,13,12
1549866740,12,17
1549868657,4,8
1549870568,2,10
1549872496,5,17
1549874431,13,0
1549876338,5,9
1549878252,12,5
1549880190,3,11
1549882091,14,3
1549886433,8,7
1549888336,15,0
1549890256,9,11
1549892194,4,6
1549894107,11,10
1549896968,4,0
1549898895,17,0
1549900821,5,9
1549902736,4,17
1549904657,6,12
1549906571,3,9
1549908510,3,0
1549912352,3,18
1549914253,15,22
1549916175,3,14
1549918338,9,14
1549920293,10,12
1549922171,5,12
1549924337,4,21
1549926254,15,10
1549928168,12,15
1549930112,5,11
1549932013,8,0
1549933933,5,19
1549935869,11,14
1549937772,6,13
1549939933,11,16
1549943788,13,27
1549945700,11,0
1549947619,4,10
1549949557,12,15
1549951451,3,15
1549953366,10,16
1549955558,18,13
1549957449,16,15
1549959390,16,0
1549961289,15,18
1549963211,5,18
1549965148,8,2
1549967050,26,0
1549968968,11,6
1549970908,16,3
1549972817,3,7
1549974731,16,15
1549976650,4,23
