DateTime,AddedIPs,RemovedIPs
1549748898,57,38
1549750827,51,57
1549752755,42,58
1549754658,65,40
1549756573,49,60
1549758494,44,55
1549760436,39,42
1549764283,52,36
1549766190,51,52
1549768101,51,47
1549770009,44,53
1549771958,58,50
1549773849,53,57
1549775805,49,55
1549777690,52,49
1549779617,63,50
1549781549,54,62
1549783457,57,53
1549785367,58,55
1549787315,46,60
1549789217,41,50
1549791144,32,44
1549793077,49,30
1549794975,25,45
1549796893,31,28
1549798840,47,32
1549800757,50,44
1549802657,45,51
1549804633,55,43
1549806498,44,59
1549808432,24,44
1549810331,27,21
1549812248,43,30
1549814190,31,44
1549816086,58,33
1549818034,36,55
1549819936,47,32
1549821877,27,51
1549823770,22,29
1549825697,29,20
1549827631,31,29
1549829536,42,32
1549831459,45,37
1549833397,50,46
1549835313,48,47
1549837215,32,54
1549839132,49,34
1549841077,61,45
1549842965,46,63
1549844892,67,45
1549846834,44,60
1549848740,49,49
1549850677,55,49
1549852578,56,52
1549854760,54,58
1549856661,54,56
1549858836,55,50
1549860752,54,58
1549862675,54,55
1549864568,52,56
1549866740,33,49
1549868657,28,35
1549870568,9,33
1549872496,48,6
1549874431,36,45
1549876338,25,33
1549878252,46,26
1549880190,14,52
1549882091,40,13
1549886433,21,36
1549888336,35,21
1549890256,24,36
1549892194,29,23
1549894107,23,29
1549896968,15,24
1549898895,43,21
1549900821,20,43
1549902736,32,16
1549904657,27,31
1549906571,19,28
1549908510,29,17
1549912352,23,33
1549914253,53,23
1549916175,27,50
1549918338,18,27
1549920293,50,18
1549922171,19,52
1549924337,23,16
1549926254,44,23
1549928168,31,41
1549930112,27,31
1549932013,19,30
1549933933,17,22
1549935869,30,15
1549937772,27,27
1549939933,38,30
1549943788,48,32
1549945700,50,46
1549947619,20,59
1549949557,38,18
1549951451,22,38
1549953366,36,21
1549955558,57,34
1549957449,59,60
1549959390,50,61
1549961289,52,52
1549963211,26,51
1549965148,35,22
1549967050,56,38
1549968968,50,59
1549970908,47,46
1549972817,18,48
1549974731,55,16
1549976650,32,56
1549978567,45,30
1549980493,24,50
1549982674,44,22
1549984577,30,42
1549987270,14,31
1549989401,26,12
1549991321,24,29
1549993211,22,23
1549995152,24,24
1549997051,47,22
1549998971,22,47
1550000888,45,20
1550002839,44,46
1550004739,29,42
1550006650,48,31
1550008587,20,51
1550010488,47,20
1550012433,20,42
1550014358,35,23
1550016267,16,30
1550018166,28,20
1550020094,22,28
1550023936,30,23
1550025850,55,30
1550027799,36,51
1550029713,47,37
1550031642,24,52
1550033571,26,22
1550035451,17,29
1550037367,38,16
1550039314,51,34
1550041222,34,54
1550044093,45,33
1550046032,24,47
1550047940,41,21
1550049855,43,39
1550052040,44,44
1550053956,25,44
1550055856,32,26
1550057788,24,31
1550059935,37,26
1550061852,41,35
1550064042,31,40
1550065935,25,31
1550067879,45,29
1550069768,26,45
1550071695,46,25
1550073612,25,46
1550075555,18,24
1550083209,25,20
1550085133,37,27
1550087074,45,36
1550088971,31,44
1550090885,54,29
1550092810,40,53
1550094729,36,39
1550096652,38,42
1550098602,21,38
1550100518,45,20
1550102450,23,44
1550104353,31,20
1550106255,50,32
1550108168,41,48
1550110115,34,42
1550112008,24,36
1550113933,26,24
1550115876,45,23
1550118038,21,48
1550119950,37,23
1550121858,35,33
1550123791,22,36
1550125690,44,26
1550127632,39,36
1550130517,55,45
1550132412,34,52
1550134335,48,35
1550136251,42,47
1550138193,38,45
1550140335,30,39
1550142256,38,23
1550144168,23,40
1550146112,21,23
1550148033,8,23
1550149929,51,9
1550151872,48,49
1550153775,36,50
1550155688,36,35
1550157634,32,36
1550159530,29,32
1550161447,42,32
1550163410,42,43
1550165287,50,39
1550167233,27,47
1550169157,27,30
1550171057,28,25
1550172968,42,25
1550174912,41,41
1550176815,19,46
1550178759,34,22
1550180656,51,34
1550182570,32,52
1550184525,47,30
1550186423,17,44
1550188338,22,17
1550190253,57,23
1550192441,14,58
1550194338,16,13
1550196280,28,14
1550198435,35,26
1550200336,53,40
1550202258,47,49
1550206098,36,48
1550208032,38,36
1550209954,37,37
1550214033,33,39
1550216910,50,37
1550220730,29,51
1550222668,32,27
1550224585,25,30
1550226513,7,27
1550228425,21,9
1550230580,25,22
1550232494,13,23
1550236334,21,15
1550240207,30,18
1550242088,19,31
1550244010,36,20
1550245829,64,34
1550247874,47,60
1550249773,11,53
1550251687,50,8
1550253620,27,47
1550255798,27,29
1550257706,23,28
1550259631,20,23
1550261533,26,20
1550265371,28,26
1550267292,51,24
1550269237,20,55
1550271158,21,20
1550273070,39,20
1550274964,24,41
1550277161,17,20
1550279081,19,18
1550280980,20,17
1550282893,17,24
1550284815,32,18
1550286759,19,27
1550290573,25,22
1550292570,39,24
1550294433,20,43
1550296351,23,21
1550298250,49,22
1550300193,30,42
1550302091,50,31
1550304027,42,52
1550305958,31,44
1550307858,19,28
1550309768,26,20
1550311715,29,29
1550315533,18,31
1550317475,23,19
1550321308,23,21
1550323237,24,21
1550325157,19,28
1550327054,22,20
1550328964,23,18
1550330910,55,23
1550332819,25,57
1550334736,21,23
1550336677,19,16
1550340290,24,20
1550342201,28,24
1550344101,30,29
1550346057,29,31
1550347948,40,29
1550349852,48,38
1550351804,33,48
1550353691,56,34
1550355611,54,49
1550358790,44,56
1550360671,40,48
1550362841,48,41
1550364731,21,51
1550366678,58,22
1550368589,50,57
1550370493,56,47
1550372422,31,56
1550374359,47,28
1550376263,35,44
1550378204,13,40
1550380123,56,16
1550382013,23,49
1550383958,42,27
1550385857,44,41
1550387774,58,43
1550389691,36,58
1550391616,36,37
1550393555,28,39
1550395453,37,31
1550397395,22,38
1550399289,21,21
1550401228,14,20
1550403163,20,14
1550405070,18,23
1550406969,27,17
1550408899,35,27
1550410810,52,34
1550412737,48,48
1550416579,26,53
1550418491,61,26
1550420564,56,59
1550422566,31,56
1550424507,48,30
1550426407,37,48
1550428603,41,37
1550430527,35,43
1550432414,22,35
1550434333,34,19
1550436277,64,32
1550440086,61,67
1550442016,36,61
1550443956,32,39
1550447768,39,32
1550449688,54,38
1550451613,30,52
1550453553,23,33
1550455452,43,23
1550457615,38,43
1550461697,43,34
1550463615,47,45
1550465531,13,47
1550469389,22,16
1550471290,66,23
1550473239,29,57
1550476090,41,33
1550478033,41,43
1550479936,24,41
1550481858,38,24
1550485715,25,40
1550487627,17,26
1550489546,21,15
1550491476,25,22
1550493376,17,24
1550495293,19,19
1550499132,20,19
1550501075,60,14
1550502976,38,60
1550504893,45,36
1550507144,46,46
1550508969,31,49
1550510889,59,31
1550512821,20,56
1550515246,28,21
1550517136,24,31
1550519074,57,24
1550520969,33,56
1550522888,45,32
1550524828,16,42
1550526731,25,17
1550528653,33,26
1550530591,22,36
1550534440,23,20
1550536361,44,23
1550538254,14,44
1550540172,16,16
1550542341,24,15
1550546199,16,24
1550548086,39,17
1550550014,25,34
1550551931,22,27
1550553860,53,21
1550555790,34,55
1550562509,48,36
1550564427,41,41
1550568270,42,42
1550570170,31,44
1550575960,14,36
1550577881,12,12
1550579790,16,12
1550581724,22,12
1550583630,39,22
1550585535,22,39
1550589395,34,22
1550591288,41,35
1550593477,59,43
1550597291,38,59
1550601155,32,39
1550604996,25,31
1550606914,18,24
1550608815,26,23
1550610981,31,25
1550612888,57,29
1550614814,19,57
1550618670,65,20
1550620567,19,64
1550622491,42,20
1550624441,21,42
1550628258,23,24
1550636181,41,21
1550638088,32,39
1550640022,22,34
1550641937,24,18
1550643896,59,23
1550645791,21,60
1550648886,53,20
1550650842,19,54
1550652753,32,20
1550654953,38,36
1550656838,49,34
1550658755,13,53
1550660654,25,14
1550662591,15,23
1550664493,19,15
1550666412,27,18
1550668357,55,24
1550670249,63,57
1550672436,29,66
1550674326,24,26
1550676270,57,22
1550678166,12,61
1550682522,23,13
1550684413,24,22
1550686358,19,22
1550688258,41,17
1550692092,40,44
1550694017,28,39
1550695955,22,28
1550697855,54,23
1550701944,25,55
1550703875,35,24
1550706041,23,35
1550708204,28,21
1550710119,52,29
1550712016,17,53
1550713943,22,18
1550717778,20,21
1550719940,20,20
1550721864,26,18
1550723792,20,24
1550725692,29,21
1550729558,54,27
1550731456,33,53
1550733374,46,35
1550735291,47,38
1550737250,54,52
1550739155,33,58
1550742971,33,34
1550745162,16,36
1550747082,15,17
1550749240,21,14
1550753055,18,21
1550756893,24,19
1550758833,31,25
1550760998,19,28
1550762895,68,21
1550764825,39,69
1550766765,22,35
1550768674,18,23
1550770838,23,16
1550772738,34,24
1550774655,42,32
1550776597,17,45
1550778754,15,18
1550780678,36,12
1550784509,43,38
1550786443,29,45
1550790253,27,26
1550794826,30,28
1550796996,22,27
1550798892,54,25
1550800837,20,50
1550802757,32,21
1550806569,29,33
1550810652,42,27
1550812819,31,46
1550814729,20,29
1550816652,52,21
1550818589,32,45
1550820491,40,30
1550822441,35,44
1550824345,27,35
1550826273,19,30
1550828169,23,21
1550830095,32,21
1550833934,16,38
