DateTime,AddedIPs,RemovedIPs
1548626641,1,2
1548630268,2,2
1548633855,3,1
1548637467,0,3
1548644667,0,1
1548648291,1,3
1548651841,1,1
1548659055,1,4
1548673450,1,0
1548677067,1,0
1548684306,2,2
1548687873,0,1
1548691448,0,2
1548702235,0,1
1548705839,0,2
1548709398,2,0
1548713034,2,2
1548716628,0,3
1548720225,1,3
1548723857,3,2
1548727439,0,1
1548731035,2,1
1548734638,1,0
1548741833,2,2
1548752689,1,1
1548756248,1,0
1548759806,0,1
1548767052,1,1
1548770697,1,0
1548774275,1,0
1548781472,2,0
1548785066,1,2
1548788653,2,0
1548792228,3,3
1548795870,1,4
1548799483,3,1
1548803105,0,2
1548806645,6,1
1548810255,2,1
1548813872,1,0
1548817491,0,4
1548821029,2,0
1548824647,1,2
1548828272,1,0
1548835471,1,1
1548839045,0,8
1548842662,0,3
1548846244,0,1
1548849855,0,1
1548853467,1,3
1548857032,1,0
1548860673,1,2
1548875046,1,1
1548878656,0,3
1548882219,4,1
1548885851,1,2
1548889463,4,3
1548893020,1,1
1548896670,0,1
1548900255,0,3
1548903877,2,0
1548911084,1,0
1548914693,1,1
1548918282,1,0
1548925486,0,1
1548929074,1,1
1548932672,2,0
1548943475,1,0
1548947084,1,1
1548950728,1,2
1548954311,1,1
1548957897,2,1
1548961470,2,2
1548965052,0,1
1548968653,0,2
1548972264,2,2
1548975883,2,2
1548979520,1,0
1548983066,3,1
1548986642,1,3
1548990277,1,1
1548993904,0,3
1548997484,2,5
1549004684,0,1
1549008253,1,2
1549011866,1,6
1549015437,1,7
1549019007,0,1
1549022608,6,1
1549026220,1,0
1549029838,79,1
1549033457,2,2
1549037072,1,2
1549040611,13,1
1549044236,14,1
1549047839,10,1
1549051437,2,1
1549055078,1,0
1549058648,2,2
1549062230,1,0
1549065830,1,1
1549069442,0,3
1549073082,0,1
1549076675,1,2
1549080277,0,1
1549083862,1,1
1549087447,0,1
1549091057,0,4
1549094663,1,0
1549098301,2,0
1549105467,2,0
1549112663,2,1
1549116303,1,1
1549123480,0,3
1549127075,2,0
1549130640,1,0
1549134267,4,2
1549141443,2,0
1549145015,1,1
1549148607,1,0
1549152246,0,1
1549159447,8,2
1549166621,0,3
1549170214,2,0
1549181037,1,0
1549191802,0,2
1549195473,0,13
1549199064,14,0
1549202665,1,0
1549209825,0,1
1549213486,3,4
1549217086,1,0
1549220708,1,1
1549224238,2,0
1549227851,54,0
1549231455,1,2
1549235096,1,2
1549238701,2,0
1549249467,2,0
1549253092,1,3
1549256679,0,1
1549260283,1,0
1549263876,1,1
1549271038,24,1
1549274682,35,0
1549278275,20,1
1549281869,2,2
1549285469,0,1
1549289038,2,2
1549292652,2,2
1549299862,1,1
1549303458,2,0
1549307067,5,0
1549310661,4,0
1549314258,0,3
1549317843,0,2
1549325055,1,0
1549328635,4,0
1549332248,3,1
1549335859,0,1
1549339475,0,1
1549346670,1,0
1549361071,2,0
1549368297,1,0
1549371900,4,0
1549375473,2,1
1549379100,1,1
1549382702,3,1
1549386293,1,3
1549389840,0,3
1549393418,0,5
1549397076,2,0
1549400664,3,2
1549404282,2,1
1549411495,0,7
1549415046,2,2
1549418674,2,0
1549422249,2,1
1549425866,2,2
1549436641,0,1
1549440228,1,1
1549443903,0,1
1549451046,0,1
1549458278,1,1
1549461859,1,2
1549465463,1,6
1549469080,2,0
1549472675,2,2
1549476276,1,0
1549479898,2,1
1549483480,2,0
1549487094,2,1
1549490697,0,2
1549494276,1,1
1549497880,1,1
1549501492,1,1
1549505090,2,0
1549508714,2,2
1549512272,0,1
1549515883,1,2
1549523115,1,0
1549526672,2,0
1549533876,0,2
1549548293,3,0
1549551908,3,1
1549555510,1,1
1549562693,0,3
1549566268,0,3
1549569861,1,2
1549573454,4,0
1549577080,0,1
1549580677,1,0
1549584294,0,1
1549587885,4,1
1549591490,1,2
1549595084,1,1
1549598682,0,2
1549609481,1,0
1549613070,0,1
1549616680,1,1
1549620263,0,2
1549634687,0,46
1549638238,1,1
1549641886,2,2
1549649077,2,1
1549656288,2,0
1549659839,1,1
1549663490,1,0
1549667074,0,1
1549670688,1,1
1549674221,1,2
1549677843,5,0
1549681449,0,1
1549685069,0,3
1549688695,1,0
1549692289,0,2
1549695870,0,2
1549699492,1,4
1549703045,0,2
1549706686,0,1
1549713862,2,0
1549717457,0,1
1549721049,1,1
1549724661,0,3
1549731893,1,1
1549735472,2,0
1549739087,3,1
1549742657,2,1
1549746232,1,0
1549749867,2,3
1549753455,5,1
1549757038,3,1
1549760644,1,0
1549764253,1,2
1549767849,0,1
1549771451,1,0
1549796647,1,3
1549803855,0,1
1549807460,0,1
1549811072,0,1
1549814664,0,1
1549818268,1,0
1549825464,1,2
1549829060,1,2
1549832664,0,85
1549836263,0,1
1549839826,1,2
1549843468,0,2
1549847077,3,2
1549850658,1,0
1549857863,0,1
1549861485,9,0
1549865014,6,0
1549868633,3,2
1549872264,2,2
1549875837,0,18
1549879437,1,30
1549883029,0,29
1549886626,0,3
1549890258,1,0
1549897462,0,1
1549901049,1,0
1549904635,0,1
1549908240,4,3
1549911839,6,3
1549915433,1,0
1549919049,0,1
1549926215,0,1
1549929836,1,1
1549933438,0,1
1549937035,0,2
1549940647,0,2
1549944210,1,3
1549951467,0,1
1549955057,0,2
1549958661,0,1
1549962248,0,2
1549965880,1,0
1549969429,0,1
1549973075,2,0
1549980300,0,1
1549983861,0,2
1549987455,1,0
1549994686,1,0
1549998258,0,1
1550001886,1,0
1550005464,1,2
1550009067,3,3
1550012670,2,0
1550016268,1,0
1550019849,1,0
1550023470,0,2
1550027026,1,2
1550030622,1,0
1550034259,1,0
1550037889,0,1
1550041455,0,1
1550045075,0,3
1550055843,1,1
1550059457,1,0
1550063079,1,3
1550066622,0,1
1550070247,0,1
1550073820,1,1
1550077461,1,2
1550084639,0,1
1550088231,0,2
1550091830,1,1
1550095432,2,2
1550099043,1,0
1550102640,1,4
1550106246,2,0
1550109847,2,2
1550113441,0,1
1550120644,1,2
1550127849,2,0
1550131448,0,4
1550135037,2,5
1550138664,1,0
1550142280,0,2
1550145870,1,1
1550149443,1,3
1550156632,2,0
1550160269,7,0
1550163869,1,1
1550167487,1,0
1550174629,1,0
1550178262,3,0
1550181846,3,1
1550185456,2,2
1550192638,3,0
1550196248,1,0
1550199834,7,0
1550203470,3,1
1550207044,3,0
1550214253,2,0
1550217877,3,1
1550221460,2,0
1550225072,0,1
1550228670,1,0
1550232247,1,0
1550235859,1,0
1550239463,2,1
1550243063,0,1
1550246714,1,0
1550250259,1,0
1550253837,0,1
