DateTime,AddedIPs,RemovedIPs
1549034182,54,48
1549037770,55,50
1549041372,104,43
1549044983,94,38
1549048592,155,35
1549052190,56,53
1549055802,42,46
1549059394,62,40
1549063000,35,40
1549066587,26,25
1549070189,42,44
1549073780,34,32
1549077372,55,31
1549080969,49,42
1549084581,54,36
1549088169,54,55
1549091761,43,33
1549095376,38,34
1549098976,26,32
1549102575,30,44
1549106166,30,47
1549109775,49,39
1549113376,64,43
1549116960,101,55
1549120567,75,44
1549124171,56,39
1549127741,55,42
1549131363,68,42
1549134974,62,36
1549138588,62,39
1549142213,47,40
1549145806,58,32
1549149405,42,31
1549153009,34,30
1549156595,36,45
1549160199,29,38
1549163812,37,35
1549167403,33,36
1549170997,30,35
1549174605,38,36
1549178216,31,35
1549181809,30,42
1549185402,45,47
1549188976,28,40
1549192571,38,42
1549196181,37,33
1549199781,47,40
1549203371,30,50
1549206973,28,47
1549210571,27,50
1549214165,37,63
1549217769,72,40
1549221363,79,50
1549224966,55,42
1549228573,90,48
1549232166,129,52
1549235779,79,42
1549239372,54,54
1549242973,49,52
1549246579,49,43
1549250167,31,53
1549253771,32,40
1549257382,30,44
1549260982,30,59
1549264575,26,56
1549268187,42,43
1549271790,48,54
1549275378,36,50
1549278973,30,43
1549282588,41,58
1549286179,37,62
1549289783,80,53
1549293381,75,61
1549297004,60,56
1549300601,232,53
1549304208,129,41
1549307801,120,56
1549311409,84,62
1549315007,86,44
1549318605,87,39
1549322206,62,55
1549325811,61,34
1549329413,66,40
1549332998,73,52
1549336607,59,49
1549340201,62,51
1549343809,66,43
1549347414,73,47
1549351001,61,39
1549354605,44,58
1549358206,60,59
1549361808,57,53
1549365394,56,46
1549368982,49,59
1549372589,35,45
1549376196,40,52
1549379786,57,50
1549383397,40,58
1549386992,28,60
1549390597,38,39
1549394214,43,59
1549397807,43,44
1549401419,30,47
1549405003,53,51
1549408611,34,37
1549412202,45,61
1549415806,52,49
1549419416,41,56
1549423017,34,57
1549426618,34,43
1549430212,43,59
1549433815,40,53
1549437412,55,49
1549441029,30,47
1549444608,44,59
1549448204,43,39
1549451807,42,54
1549455391,34,53
1549458990,49,43
1549462602,50,52
1549466195,42,46
1549469802,37,44
1549473402,36,60
1549476998,35,41
1549480589,42,39
1549484198,32,48
1549487787,40,48
1549491388,34,46
1549494976,30,31
1549498583,40,44
1549502173,30,43
1549505771,30,42
1549509367,31,42
1549512981,43,37
1549516570,32,43
1549520174,32,37
1549523782,31,35
1549527375,33,44
1549530980,40,40
1549534579,48,43
1549538178,33,42
1549541773,47,48
1549545369,39,47
1549548975,43,60
1549552577,74,38
1549556172,75,39
1549559780,51,60
1549563373,25,54
1549566983,30,44
1549570585,34,39
1549574191,43,34
1549577786,27,46
1549581379,35,40
1549584980,40,50
1549588572,46,39
1549592179,38,51
1549595787,38,41
1549599383,39,38
1549602979,51,46
1549606594,27,53
1549610196,38,46
1549613790,31,61
1549617405,40,52
1549621005,40,51
1549624579,56,40
1549628190,53,36
1549631793,48,58
1549635392,39,47
1549638988,30,45
1549642584,38,57
1549646195,37,69
1549649787,51,59
1549653376,35,134
1549656979,35,49
1549660577,24,50
1549664175,40,61
1549667771,24,53
1549671384,29,36
1549674973,29,46
1549678553,31,47
1549682173,37,55
1549685761,41,56
1549689365,24,50
1549692962,37,77
1549696561,34,51
1549700148,39,54
1549703773,35,31
1549707363,33,36
1549710964,40,41
1549714565,40,54
1549718163,41,46
1549721771,33,51
1549725364,48,48
1549728961,41,45
1549732568,38,40
1549736177,37,42
1549739783,33,47
1549743415,323,52
1549747028,444,52
1549750641,244,44
1549754243,158,49
1549757849,83,40
1549761447,48,48
1549765043,45,42
1549768637,51,41
1549772236,45,39
1549775837,44,35
1549779450,42,42
1549783071,40,43
1549786657,57,32
1549790246,59,48
1549793852,62,34
1549797457,73,37
1549801059,144,44
1549804656,86,60
1549808259,51,37
1549811846,54,32
1549815465,81,41
1549819037,40,54
1549822642,49,58
1549826251,39,44
1549829849,52,58
1549833459,72,53
1549837048,44,41
1549840649,47,39
1549844253,34,49
1549847847,52,52
1549851454,46,52
1549855044,42,49
1549858635,38,44
1549862237,48,39
1549865845,52,41
1549869453,56,60
1549873045,51,60
1549876663,56,73
1549880257,67,53
1549883858,60,55
1549887451,44,56
1549891050,59,46
1549894644,99,49
1549898251,111,66
1549901820,70,51
1549905430,140,62
1549909066,120,51
1549912669,72,59
1549916270,119,60
1549919855,56,52
1549923476,65,52
1549927056,79,63
1549930670,61,72
1549934272,65,63
1549937865,39,74
1549941468,48,62
1549945067,31,65
1549948654,49,81
1549952251,52,86
1549955834,48,104
1549959434,44,116
1549963034,50,160
1549966631,57,230
1549970218,38,298
1549973825,49,83
1549977409,55,36
1549981023,40,34
1549984612,55,45
1549988213,86,32
1549991814,86,37
1549995415,68,50
1549999028,58,42
1550002623,52,49
1550006230,123,26
1550009822,87,48
1550013429,59,30
1550017032,49,50
1550020630,45,51
1550024233,45,44
1550027815,43,42
1550031418,47,36
1550035007,66,38
1550038663,74,39
1550042263,59,50
1550045864,39,38
1550049512,39,55
1550053098,54,40
1550056693,59,54
1550060252,59,41
1550063843,48,59
1550067445,43,67
1550071055,52,50
1550074646,40,41
1550078252,77,36
1550081849,75,45
1550085463,61,46
1550089064,56,46
1550092699,77,45
1550096328,48,41
1550099899,38,33
1550103528,43,44
1550107133,49,36
1550110696,53,35
1550114279,52,42
1550117867,36,43
1550125083,75,79
1550128695,42,50
1550132291,42,41
1550135902,42,55
1550139484,54,61
1550143104,49,55
1550146657,53,74
1550150293,57,73
1550153878,42,62
1550157443,28,80
1550161017,63,68
1550164638,61,49
1550168228,51,26
1550171845,66,38
1550175425,102,42
1550179060,162,44
1550182668,125,36
1550186274,102,35
1550189876,79,33
1550193469,69,44
1550197071,70,41
1550200662,45,33
1550204255,46,43
1550207863,56,48
1550211458,47,37
1550215054,57,45
1550218658,62,34
1550222262,43,39
1550225863,54,44
1550229467,54,57
1550233069,51,45
1550236660,46,64
1550240262,52,36
1550243865,51,40
1550247456,40,36
1550251064,52,41
1550254668,44,45
1550258267,41,41
1550261854,38,37
1550265464,61,22
1550269081,46,36
1550272672,27,31
1550276276,40,30
1550279871,40,35
1550283477,51,31
1550287074,38,39
1550290659,40,34
1550294288,43,29
1550297869,44,37
1550301469,41,34
1550305079,36,40
1550308682,40,33
1550312286,35,23
1550315895,39,30
1550319486,43,42
1550323097,47,40
1550326681,54,32
1550330293,35,41
1550333890,39,42
1550337494,46,43
1550341099,41,33
1550344680,39,29
1550348288,42,38
1550351909,43,50
1550355507,95,55
1550359111,58,30
1550362703,48,46
1550366304,48,34
1550369893,50,41
1550373495,45,35
1550377093,52,43
1550380712,40,42
1550384286,44,41
1550387870,31,45
1550391483,53,46
1550395069,48,43
1550398674,53,43
1550402264,43,52
1550405871,50,73
1550409476,36,60
1550413052,49,40
1550416679,144,62
1550420265,72,55
1550423879,61,44
1550427473,63,53
1550431073,72,43
1550434681,120,55
1550438281,103,76
1550441887,88,46
1550445478,64,50
1550449084,56,44
1550452679,59,60
1550456281,43,64
1550459883,59,56
1550463480,33,48
1550467078,52,55
1550470683,41,63
1550474289,53,63
1550477886,52,71
1550481475,61,71
1550485086,50,59
1550488683,54,53
1550492278,54,54
1550495890,47,53
1550499484,54,69
1550503096,57,65
1550506691,39,55
1550510298,52,68
1550513900,42,56
1550517543,45,58
1550521192,64,148
1550524735,68,51
1550528344,54,54
1550531925,53,75
1550535508,48,69
1550539134,35,65
1550542680,52,44
1550546274,36,63
1550549937,41,41
1550553495,44,54
1550557099,42,67
1550560662,50,59
1550564280,47,64
1550567900,24,57
1550571514,35,66
1550575134,54,63
1550578645,42,64
1550582255,162,58
1550585873,185,51
1550589465,111,74
1550593080,69,56
1550596677,90,69
1550600282,86,56
1550603886,89,50
1550607479,96,70
1550611080,76,77
1550614716,55,54
1550618309,34,46
1550621912,48,57
1550625501,52,66
1550629075,41,60
1550632676,37,43
1550636287,48,52
1550639882,34,69
1550643477,59,79
1550647089,48,65
1550650677,37,51
1550654290,46,55
1550657889,35,74
1550661490,54,63
1550665075,28,71
1550668705,44,51
1550672282,43,52
1550675887,52,63
1550679486,57,54
1550683091,92,49
1550686704,73,60
1550690302,64,44
1550693913,67,47
1550697502,79,55
1550701095,47,49
1550704690,53,34
1550708306,44,47
1550711885,35,60
1550715489,31,54
1550719081,31,55
1550722668,48,42
1550726277,42,48
1550729863,39,47
1550733469,43,59
1550737073,39,56
1550740679,45,85
1550744272,40,84
1550747876,64,64
1550751475,48,57
1550755078,47,62
1550758684,61,44
1550762273,56,40
1550765884,50,68
1550769478,35,60
1550773089,32,57
1550776693,46,54
1550780292,52,46
1550783877,60,50
1550787495,61,42
1550791093,242,58
1550794705,175,64
1550798306,154,57
1550801901,99,54
1550805505,102,52
1550809102,78,50
1550812706,78,57
1550816296,65,63
1550819893,64,69
1550823490,49,79
1550827097,54,52
1550830683,52,56
1550834302,57,46
