DateTime,AddedIPs,RemovedIPs
1549011960,1,2
1549015556,2,2
1549019158,2,3
1549022759,1,1
1549026354,1,2
1549029962,0,2
1549033558,3,1
1549037203,2,0
1549040746,17,4
1549044351,13,3
1549047966,5,4
1549051558,6,4
1549055162,1,0
1549058763,4,4
1549062425,12,1
1549065966,0,4
1549069553,2,2
1549073155,0,1
1549080338,2,0
1549083954,0,1
1549087542,0,7
1549091134,1,5
1549094750,3,2
1549098343,1,2
1549101946,1,2
1549105537,0,2
1549109141,0,2
1549112756,5,4
1549116331,2,1
1549119934,2,3
1549123536,2,7
1549127122,7,6
1549130717,3,2
1549134338,3,2
1549137964,2,3
1549141563,0,2
1549145162,1,3
1549148755,1,2
1549152362,2,4
1549155964,1,3
1549159555,0,2
1549163149,0,2
1549166760,0,1
1549170354,1,0
1549173962,0,1
1549177560,0,3
1549181157,0,1
1549184755,1,2
1549188351,2,2
1549191944,1,1
1549195540,1,5
1549199147,1,2
1549202736,3,2
1549206335,2,0
1549213531,2,6
1549217128,6,1
1549220732,5,2
1549224390,0,1
1549227935,3,1
1549231535,2,1
1549238726,1,0
1549242332,1,0
1549245928,0,1
1549249524,1,3
1549253148,1,1
1549256730,1,3
1549260355,0,5
1549263936,1,2
1549267539,2,1
1549271151,2,2
1549274743,1,4
1549278353,1,2
1549281946,0,2
1549285541,2,4
1549289147,1,3
1549292755,2,1
1549296345,0,1
1549299951,3,1
1549303552,1,0
1549307145,2,4
1549310744,0,1
1549314353,1,1
1549317951,3,6
1549321545,0,11
1549325148,4,3
1549328746,2,3
1549332341,2,1
1549335941,0,1
1549339536,3,2
1549343137,0,3
1549346739,0,1
1549350335,2,1
1549353943,1,3
1549357534,1,0
1549361143,1,1
1549364734,19,2
1549368339,12,1
1549371938,15,2
1549375532,7,1
1549379126,6,1
1549382732,8,0
1549386333,9,2
1549389936,8,3
1549393541,5,2
1549397144,3,5
1549400742,2,1
1549404346,2,2
1549407939,5,0
1549411544,3,0
1549415151,3,1
1549418759,3,0
1549422357,1,0
1549425951,2,3
1549429554,2,4
1549433155,3,0
1549436765,3,1
1549440364,4,1
1549443945,2,1
1549447543,4,5
1549451149,2,8
1549454754,1,10
1549458393,2,30
1549461942,3,7
1549465548,2,2
1549469139,4,0
1549472747,7,0
1549476337,1,1
1549479945,2,1
1549483543,5,2
1549487145,3,0
1549490738,1,2
1549494330,0,3
1549497936,1,0
1549501523,11,11
1549505129,2,0
1549508717,2,0
1549512327,1,0
1549515920,2,2
1549519528,3,4
1549523132,3,3
1549526727,8,0
1549530347,22,2
1549533933,28,1
1549537550,17,1
1549541133,25,1
1549548337,51,1
1549551952,15,2
1549555529,19,1
1549559142,16,3
1549562752,15,2
1549566343,12,2
1549569947,11,1
1549573552,9,2
1549577151,9,0
1549580748,7,2
1549584350,1,1
1549587945,7,5
1549591541,5,0
1549595155,13,0
1549598757,14,1
1549602362,13,2
1549605966,15,2
1549609574,31,1
1549613166,29,1
1549616769,24,2
1549620379,29,2
1549623970,32,1
1549627586,15,3
1549631179,20,2
1549634774,20,0
1549638371,18,0
1549641975,21,2
1549645580,18,0
1549649177,21,1
1549652784,15,1
1549656374,9,1
1549659975,13,1
1549663581,7,2
1549667177,6,6
1549670791,3,2
1549674371,7,2
1549677962,3,1
1549681571,6,0
1549685186,8,2
1549688780,16,0
1549692377,8,0
1549695984,16,1
1549699574,26,2
1549703190,18,2
1549706783,12,2
1549710383,19,0
1549713979,18,0
1549717577,14,2
1549721192,29,3
1549724777,26,2
1549728384,27,2
1549731987,27,1
1549735604,21,2
1549739208,15,1
1549742827,16,2
1549746436,52,0
1549750029,7,3
1549753630,14,2
1549757233,8,2
1549760825,11,2
1549764426,16,1
1549768037,5,0
1549771618,12,0
1549775228,14,1
1549778832,15,0
1549782480,23,0
1549786070,19,0
1549789631,25,1
1549793249,32,3
1549796851,21,1
1549800439,20,1
1549804046,23,2
1549807640,18,2
1549811240,18,1
1549814843,3,1
1549818422,10,2
1549822022,7,2
1549825626,8,3
1549829233,7,1
1549832836,3,2
1549836432,0,4
1549840025,3,2
1549843658,2,1
1549847230,3,0
1549854423,3,2
1549858024,3,1
1549861624,2,0
1549865238,1,1
1549868835,2,1
1549872423,5,3
1549876029,1,1
1549879630,3,1
1549883233,6,0
1549890422,5,3
1549894025,5,2
1549897622,1,1
1549901199,2,1
1549904828,2,2
1549908422,6,2
1549912028,1,1
1549915626,2,1
1549919224,2,2
1549922827,1,1
1549926423,6,0
1549930027,1,4
1549933629,1,3
1549937220,1,4
1549940812,0,2
