DateTime,AddedIPs,RemovedIPs
1550221516,1,0
1550224215,1,0
1550226016,2,0
1550227216,3,0
1550229015,7,0
1550229915,152,0
1550230515,14,0
1550234416,1,0
1550235017,1,0
1550238916,0,1
1550239815,1,0
1550240416,2,0
1550241615,1,0
1550242515,1,0
1550242818,37,1
1550243117,36,0
1550244017,44,0
1550245217,3,0
1550246716,3,0
1550248815,14,0
1550252417,2,0
1550253016,2,0
1550253916,7,0
1550254816,9,0
1550255114,16,0
1550255715,1,0
1550256616,1,0
1550259316,1,0
1550260516,4,1
1550261416,7,0
1550262016,38,0
1550262316,0,2
1550265015,1,0
1550265615,2,0
1550267417,41,0
1550268616,29,0
1550269216,7,0
1550271916,9,0
1550272816,0,1
1550274016,1,0
1550274618,1,0
1550275516,5,0
1550276415,1,0
1550277616,3,1
1550278514,1,0
1550279116,8,0
1550279415,77,0
1550280616,5,0
1550283616,4,0
1550284515,1,0
1550285715,2,0
1550286615,1,0
1550287216,1209,0
1550290215,2,0
1550291417,1,0
1550291716,1,0
1550292617,1,0
1550293516,1,0
1550294415,19,0
1550298016,1,0
1550298915,1,0
1550300115,6,0
1550300715,4,0
1550301015,43,0
1550301615,1,0
1550302514,1,0
1550306416,2,0
1550307017,19,0
1550307315,18,0
1550308216,39,0
1550308815,15,0
1550311516,1,0
1550312415,1,0
1550316317,18,0
1550316915,30,0
1550318417,23,0
1550319015,1,0
1550319617,2,0
1550320515,3,0
1550321415,5,0
1550324115,5,0
1550325017,30,0
1550326216,1,0
1550326816,3,0
1550328016,1,0
1550330416,2,0
1550331315,4,0
1550332215,32,0
1550333416,1,0
1550335215,3,0
1550336115,3,0
1550337315,1,0
1550340018,3,0
1550340615,55,0
1550341216,26,0
1550343015,12,0
1550343315,0,1
1550343617,2,0
1550344215,2,0
1550345116,2,0
1550346016,3,0
1550346616,2,0
1550348715,17,0
1550350215,25,0
1550351416,65,1
1550352316,2,0
1550352915,7,0
1550354116,1,0
1550355015,19,0
1550355616,6,0
1550355916,0,1
1550356515,2,0
1550359819,0,1
1550363715,1,0
1550365516,1,0
1550366716,52,0
1550367617,83,0
1550368515,8,0
1550369416,3,0
1550373615,6,0
1550374515,1,0
1550375416,2,0
1550376616,1,0
1550377216,135,0
1550378115,2,0
1550378416,1,0
1550378716,1,0
1550379314,1,0
1550382915,1,0
1550383515,3,0
