DateTime,AddedIPs,RemovedIPs
1549394102,2,5
1549397722,1284,1026
1549401321,0,3
1549404921,1,2
1549408304,4,12
1549412126,29,2
1549413265,256,256
1549415463,3,5
1549419325,2,1
1549422675,1,25
1549426529,2,3
1549430125,1,2
1549433726,3,0
1549437302,1,1
1549440902,2,0
1549444525,1,2
1549447892,0,1
1549451503,6,0
1549455080,1,3
1549457702,0,29952
1549458710,5,5
1549460102,4096,3072
1549462520,2,1
1549463899,256,256
1549465502,512,512
1549466118,3,2
1549473602,1,3
1549476670,1,1
1549478101,256,256
1549479902,1280,1280
1549480802,1,3
1549481702,256,256
1549484102,2,5
1549487721,3,2
1549491115,1,1
1549494902,2,0
1549498522,9,3
1549500018,1280,1280
1549501948,13,2
1549505724,0,1
1549506902,256,256
1549509080,2,5
1549512924,2,16
1549516295,1,1
1549520125,4,1
1549523477,0,2
1549530033,256,256
1549530694,1,1
1549537910,0,1
1549541491,1,0
1549542928,2304,2560
1549544103,6144,21504
1549545079,3,4
1549548902,2,1
1549551902,512,512
1549552519,2,5
1549553702,768,1024
1549556119,3,2
1549558821,256,256
1549559702,5,1
1549560902,1024,1024
1549563321,0,3
1549566023,256,256
1549566692,2,1
1549568122,256,256
1549570289,1,2
1549573887,2,0
1549575445,0,256
1549577476,0,1
1549581302,2,3
1549582502,768,512
1549584902,4,2
1549588526,21,1
1549589887,256,256
1549592125,1,1
1549595726,3,3
1549599328,2,18
1549602675,3,1
1549606526,1,9
1549610103,0,2
1549613702,1,0
1549617302,1,3
1549620927,3,0
1549626602,3,3
1549628702,3,2
1549629623,512,512
1549631102,256,36608
1549631702,1,1
1549635302,1,1
1549638921,1,2
1549642503,0,2
1549646120,1,0
1549647902,256,256
1549649721,0,1
1549653302,2,0
1549656902,5,3
1549660523,3,1
1549664123,1,0
1549667723,2,3
1549671554,22,1
1549675203,6,1
1549676013,256,256
1549678311,2,2
1549681949,2,25
1549685726,4,1
1549689185,1,1
1549692765,2,1
1549698303,5,1
1549700402,1,2
1549703726,0,1
1549707327,0,2
1549710712,1,3
1549714291,1,0
1549716605,0,49152
1549717894,2,1
1549719148,768,768
1549721402,256,256
1549721720,2,0
1549724702,256,256
1549725093,1,2
1549726502,256,512
1549728920,2,0
1549732521,2,2
1549736121,2,2
1549739721,258,258
1549740902,256,256
1549743302,2,3
1549746922,3,2
1549750307,2,2
1549754402,3,2
1549757702,7,0
1549761325,11,5
1549764925,1,2
1549768279,2,22
1549771910,5,10
1549775496,3,1
1549779136,0,1
1549782706,1,2
1549790125,0,2
1549793516,3,0
1549797087,2,1
1549801202,0,1
1549803302,3584,6656
1549804286,2,0
1549807903,0,4
1549811725,0,2
1549813129,768,512
1549815073,3,1
1549818919,2,1
1549820275,256,256
1549822520,3,1
1549826119,0,5
1549827557,256,256
1549829702,3,3
1549833082,2,0
1549834553,256,256
1549836698,0,1
1549840522,2,3
1549841424,256,256
1549844102,6,0
1549845302,256,256
1549847513,16,0
1549849047,256,256
1549850702,256,256
1549851324,1,1
1549854302,256,256
1549854923,1,6
1549858503,2,19
1549861225,256,256
1549861914,3,1
1549865479,4,3
1549869324,0,4
1549872694,1,2
1549876527,1,2
1549879878,2,2
1549883725,2,1
1549887325,3,2
1549888718,1024,1024
1549890602,1024,0
1549890919,2,0
1549894519,1,2
1549898118,2,5
1549901719,1,2
1549905320,1,2
1549908902,5,1
1549910702,256,256
1549912519,0,2
1549916120,0,2
1549919702,2,2
1549923302,1,0
1549928357,256,256
1549930502,6,2
1549932323,512,512
1549934102,9,2
1549937703,2,1
1549941324,3,5
1549944902,11,7
1549948266,1,2
1549951878,2,2
1549955513,2,12
1549959324,0,3
1549962667,3,0
1549966524,1,5
1549970125,3,1
1549973724,1,0
1549975004,768,768
1549975804,1024,28160
1549977073,3,1
1549980731,2,1
1549984298,0,2
1549989002,1,1
1549991719,2,2
1549995320,0,1
1549998699,1,1
1550002502,1,3
1550006121,1,3
1550009722,1,1
1550013092,2,2
1550014503,256,256
1550016923,31,0
1550020802,1,4
1550024125,5,1
1550027508,3,20
1550031303,7,5
1550034834,6,5
1550038418,5,1
1550042127,3,0
1550045726,4,2
1550049085,1,3
1550053202,2,0
1550056526,0,1
1550061302,3840,3328
1550062202,4,2
1550062502,17920,32000
1550064002,3,5
1550066418,256,256
1550067319,5,0
1550068218,256,256
1550070902,1,3
1550071820,2048,2560
1550074520,2,2
1550078119,1,2
1550079493,768,768
1550081498,0,3
1550084423,512,512
1550085097,1,5
1550086796,768,768
1550088921,4,5
1550092521,7,1
1550093702,256,256
1550095881,1,6
1550100302,2,1
1550100902,256,256
1550103324,5,1
1550104654,768,768
1550106666,16,4
1550108102,256,256
1550110316,3,4
1550113893,3,15
1550117702,2,14
1550121098,0,1
1550124672,4,2
1550128525,1,2
1550131906,1,1
