DateTime,Entries,UniqueIPs
1550508969,102991,9392742
1550509655,102989,9392740
1550510374,102989,9392740
1550510889,102985,9392735
1550511095,102982,9392732
1550511365,102982,9392732
1550511815,102979,9392729
1550512535,102977,9392727
1550512821,102980,9392730
1550513254,102984,9392734
1550513975,102979,9392729
1550515246,102960,9392710
1550515654,102969,9392720
1550516854,102970,9392721
1550517136,102975,9392727
1550517573,102972,9392724
1550518295,102974,9392726
1550519074,102981,9392733
1550519735,102982,9392734
1550520696,102978,9392730
1550520969,102978,9392730
1550521894,102975,9392727
1550522614,102980,9392732
1550522888,102981,9392735
1550523335,102978,9392734
1550524054,102979,9392735
1550524828,102966,9392723
1550525513,102966,9392723
1550526008,102968,9392725
1550526215,102971,9392727
1550526731,102977,9392733
1550526934,102977,9392733
1550527656,102976,9392732
1550528375,102974,9392730
1550528653,102964,9392719
1550529095,102965,9392720
1550529814,102973,9392728
1550530591,102976,9392731
1550531505,103046,9392803
1550532216,103057,9389029
1550532936,103062,9389034
1550533656,103065,9389037
1550534440,103045,9389017
1550535577,103036,9389008
1550536361,103023,9388996
1550537014,103019,9388992
1550537736,103019,9388992
1550538254,103024,9388997
1550539176,103027,9389000
1550540172,103022,9388995
1550540374,103024,9388997
1550540650,103024,9388997
1550541094,103026,9388999
1550541815,103029,9388995
1550542341,103022,9388987
1550542536,103021,9388987
1550543256,103018,9388980
1550543976,103008,9388969
1550544694,103012,9388975
1550545414,103008,9388970
1550546199,102995,9388955
1550546854,102993,9388953
1550547576,102995,9388954
1550548086,103000,9388959
1550548294,102995,9388953
1550549015,102996,9388954
1550549738,102998,9388963
1550550014,102987,9388952
1550550278,102985,9388950
1550550946,102986,9388951
1550551931,102976,9388941
1550552139,102978,9388943
1550552856,102980,9388951
1550553608,82184,9362547
1550553860,82167,9362530
1550554295,102972,9388939
1550555015,102973,9388940
1550555289,102972,9388939
1550555790,102983,9388950
1550556697,102983,9388950
1550557414,102984,9388949
1550558135,102985,9388950
1550558855,102988,9388953
1550559576,102978,9388943
1550560296,102975,9388942
1550561015,102960,9388927
1550561735,102951,9388922
1550562509,102915,9388886
1550563658,102909,9388879
1550564427,102905,9388874
1550565095,102904,9388873
1550565386,102991,9388963
1550565816,102982,9388950
1550566536,102981,9388949
1550567496,103023,9388995
1550568270,103027,9389000
1550568934,103017,9388990
1550569654,103025,9388998
1550569927,103026,9388999
1550570170,103012,9388985
1550571095,103045,9389018
1550571815,103043,9389016
1550572535,103043,9389016
1550573254,103039,9389012
1550574454,103035,9389008
1550575960,103030,9389003
1550577095,103019,9388992
1550577881,103013,9388986
1550578296,103011,9388984
1550579013,103063,9389037
1550579790,103049,9389023
1550580694,103078,9389053
1550581724,103073,9389051
1550582134,103095,9389073
1550583630,103135,9389113
1550584295,103132,9389110
1550584569,103128,9389106
1550585015,103133,9389111
1550585535,103129,9389108
1550585736,103135,9389114
1550586455,103136,9389115
1550587176,103136,9389115
1550587894,103140,9389119
1550588614,103136,9389115
1550588897,103138,9389117
1550589395,103123,9389102
1550590056,103112,9389091
1550590775,103112,9389091
1550591288,103125,9389104
1550591495,103121,9389100
1550593477,103125,9389102
1550594136,103124,9389101
1550594855,103125,9389102
1550596294,103124,9389101
1550597015,103127,9389104
1550597291,103122,9389098
1550597733,103123,9389099
1550598455,103116,9389093
1550599233,103118,9389094
1550599894,103117,9389093
1550601155,103094,9389070
1550601815,103087,9389063
1550602535,103078,9389053
1550603494,103114,9389089
1550604215,103111,9389086
1550604996,103081,9389056
1550605655,103086,9389061
1550606914,103091,9389065
1550607575,103091,9389065
1550608294,103094,9389068
1550608815,103100,9389074
1550609014,103097,9389071
1550609734,103093,9389064
1550610454,103088,9389059
1550610981,103093,9389064
1550611175,103090,9389061
1550611894,103095,9389066
1550612614,103092,9389063
1550612888,103106,9389079
1550613334,103108,9389081
1550613854,103107,9389080
1550614294,103115,9389088
1550614814,103115,9389088
1550615015,103114,9389088
1550616215,103108,9389082
1550616938,103113,9389087
1550617858,103052,9389025
1550618670,103036,9392610
1550619334,103033,9392607
1550620054,103027,9392601
1550620567,103021,9392595
1550621255,103033,9392607
1550621976,103041,9392615
1550622491,103046,9392620
1550622695,103049,9392623
1550623414,103047,9392621
1550624441,103044,9392619
1550624674,103048,9392623
1550625336,103042,9392617
1550626053,103037,9392612
1550626775,103038,9392613
1550628258,103036,9392610
1550628753,103029,9392603
1550629427,103025,9392595
1550630137,103029,9392599
1550630856,103035,9392604
1550632571,103037,9392608
1550632774,103022,9392591
1550633495,103025,9392594
1550634215,103022,9392589
1550635656,103064,9392630
1550636181,103052,9392617
1550636375,103049,9392613
1550637040,103052,9392618
1550637734,103050,9392616
1550638088,103047,9392613
1550638495,103032,9392602
1550639495,103035,9392602
1550640022,103038,9392605
1550640218,103038,9392605
1550641414,103033,9392600
1550641937,103032,9392599
1550642134,103028,9392599
1550642854,103028,9392599
1550643375,103026,9392597
1550643576,103030,9392598
1550643896,103035,9392603
1550645791,103035,9392601
1550646697,103032,9392596
1550647415,103032,9392596
1550648374,103033,9392597
1550648886,103026,9392590
1550649095,103029,9392596
1550649814,103031,9392598
1550650842,103025,9392592
1550651254,103021,9392590
1550651974,103025,9392594
1550652499,103024,9392593
1550652753,103045,9392614
1550653413,103048,9392617
1550654374,102995,9392562
1550654953,102988,9392555
1550655336,102988,9392555
1550656056,102980,9392549
1550656838,102982,9392551
1550657255,102957,9392526
1550658026,102963,9392533
1550658755,102961,9392531
1550659415,103009,9392579
1550660136,103006,9392580
1550660654,103013,9392587
1550661094,103009,9392583
1550661815,103006,9392580
1550662591,102990,9392565
1550663254,102989,9392564
1550663977,102985,9392560
1550664493,102983,9392558
1550665415,102998,9392574
1550666136,102997,9392573
1550666412,103003,9392579
1550666854,102974,9392549
1550668357,102971,9392546
1550669015,102940,9392515
1550669734,102930,9392505
1550670249,102920,9392496
1550670454,102921,9392497
1550672436,102917,9392493
1550672651,102917,9392493
1550673095,102904,9392480
1550673814,102902,9392478
1550674326,102908,9392484
1550674536,102908,9392484
1550675496,102908,9392484
1550676272,102919,9392494
1550676935,102922,9392497
1550677654,102913,9392488
1550678166,102904,9392480
1550678856,102902,9392478
1550681254,103095,9392674
1550682522,103080,9392659
1550683415,103079,9392658
1550684135,103075,9392654
1550684413,103073,9392652
1550684854,103074,9392653
1550685574,103075,9392654
1550686358,103081,9392660
1550687015,103081,9392660
1550687289,103082,9392661
1550687734,103092,9392671
1550688258,103098,9392677
1550688454,103110,9392689
1550690135,103081,9392660
1550690854,103078,9392657
1550691575,103082,9392661
1550692092,103077,9392656
1550692295,103073,9392652
1550693013,103063,9392642
1550693734,103059,9392638
1550694017,103053,9392632
1550694455,103053,9392632
