DateTime,AddedIPs,RemovedIPs
1550360523,1,0
1550361724,2,0
1550362322,1,0
1550362923,6,0
1550365323,6,0
1550365923,3,0
1550366525,2,0
1550367123,1,0
1550367723,4,0
1550368923,3,0
1550369523,1,0
1550370122,8,0
1550371322,4,0
1550372523,5,0
1550374923,1,0
1550375522,3,0
1550376123,10,0
1550377324,2,0
1550377923,3,0
1550378522,9,0
1550379122,2,0
1550380923,14,0
1550381523,2,0
1550382123,4,0
1550383323,1,0
1550383922,57,0
1550385724,2,0
1550386923,1,0
1550388123,21,0
1550388723,4,0
1550389923,3,0
1550391723,2,0
1550392922,2,0
1550395323,3,0
1550395923,5,0
1550397723,2,0
1550398923,2,0
1550400123,2,0
1550401323,6,0
1550402522,5,0
1550403122,1,0
1550404922,1,0
1550406722,1,0
1550409723,3,0
1550410923,2,0
1550412123,1,0
1550412724,1,0
1550413322,2,0
1550414522,2,0
1550415723,3,0
1550416923,2,0
1550419323,1,0
1550420523,5,0
1550421722,2,0
1550422923,1,0
1550424123,4,0
1550425323,1,0
1550425925,1,0
1550426523,1,0
1550427722,1,0
1550428923,2,0
1550430123,2,0
1550434924,2,0
1550436123,10,0
1550437323,1,0
1550437923,1,0
1550438523,1,0
1550439723,3,0
1550440322,1,0
1550440922,1,0
1550442123,4,0
1550443324,5,0
1550444523,11,0
1550445723,1,0
1550446922,23,0
1550448124,2,0
1550448723,2,0
1550449323,4,0
1550449923,9,0
1550450522,2,0
1550451724,2,0
1550452322,6,0
1550452922,2,0
1550453524,5,0
1550454123,2,0
1550455322,2,0
1550456523,6,0
1550457123,3,0
1550457723,4,0
1550458323,1,0
1550458923,3,0
1550460123,140,0
1550460723,3,0
1550461322,1,0
1550462523,12,0
1550463123,3,0
1550463723,1,0
1550464922,5,0
1550465522,3,0
1550466123,1,0
1550467323,3,0
1550468523,3,0
1550469724,1,0
1550470324,1,0
1550470922,3,0
1550471523,3,0
1550472123,12,0
1550474523,4,0
1550475123,3,0
1550475723,4,0
1550476323,2,0
1550476923,3,0
1550477523,1,0
1550478124,1,0
1550479323,3,0
1550480523,74,0
1550481722,6,0
1550482323,8,0
1550482923,18,0
1550485322,3,0
1550486522,5,0
1550487722,7,0
1550488922,6,0
1550489524,4,0
1550491323,1,0
1550491922,4,0
1550492523,3,0
1550493122,1,0
1550493722,2,0
1550494923,4,0
1550496123,5,0
1550497323,1,0
1550497923,1,0
1550499122,2,0
1550499723,3,0
1550500923,3,0
1550502123,1,0
1550503324,9,0
1550505123,2,0
1550506923,7,0
1550507522,3,0
1550508124,2,0
1550509323,17,0
1550510523,4,0
1550511723,3,0
1550512923,2,0
1550514123,3,0
1550514724,3,0
1550515324,4,0
1550516522,4,0
1550517723,1,0
1550518323,1,0
1550518923,3,0
1550520124,7,0
1550521324,3,0
1550521923,2,0
1550522523,2,0
1550523723,2,0
1550524323,5,0
1550524923,3,0
1550526123,2,0
1550528523,17,0
1550529723,3,0
1550530322,3,0
1550531046,5,0
1550533324,13,0
1550534524,7,0
1550535723,1,0
1550536323,4,0
1550536923,6,0
1550538123,10,0
1550539323,3,0
1550539923,1,0
1550540523,1,0
1550541724,4,0
1550542323,3,0
1550542923,1,0
1550544123,2,0
1550545324,3,0
1550545923,1,0
1550546523,5,0
1550547724,7,0
1550548923,2,0
1550550123,4,0
1550551324,2,0
1550552524,2,0
1550553723,6,0
1550554923,5,0
1550556122,24,0
1550557323,4,0
1550558523,6,1
1550559723,3,0
1550562123,20,0
1550562723,3,0
1550563323,3,0
1550564522,6,1
1550565723,3,0
1550566924,4,0
1550567524,3,0
1550568124,6,0
1550568723,1,0
1550569323,3,0
1550570523,1,0
1550571123,2,0
1550571722,6,0
1550572922,2,0
1550574123,6,0
1550574724,4,0
1550575323,2,0
1550575923,2,0
1550576523,24,0
1550578323,4,0
1550578922,3,0
1550579522,4,0
1550580123,2,0
1550581323,1,0
1550581922,1,0
1550582523,2,0
1550583723,11,0
1550584922,3,0
1550585522,3,0
1550586123,80,0
1550587923,1,0
1550588523,5,0
1550590322,3,0
1550590925,3,0
1550592124,2,0
1550592723,1,0
1550593923,1,0
1550594523,3,0
1550595123,2,1
1550595723,3,0
1550598123,6,0
1550598723,3,0
1550599323,2,0
1550599924,1,0
1550600523,12,0
1550601123,2,0
1550601724,2,0
1550602323,2,0
1550602923,4,0
1550603523,3,0
1550604123,4,0
1550604723,1,0
1550605323,2,0
1550606524,10,0
1550607124,3,0
