DateTime,AddedIPs,RemovedIPs
1550424123,36,0
1550425323,38,36
1550425925,35,38
1550426523,41,0
1550427722,32,75
1550428324,41,33
1550428923,38,47
1550430123,43,43
1550431323,34,84
1550432523,36,44
1550433723,31,41
1550434325,28,39
1550434924,37,76
1550435523,37,0
1550436123,51,42
1550437323,37,36
1550437923,33,28
1550438523,23,0
1550439723,47,89
1550440322,33,0
1550440922,37,46
1550442123,39,84
1550443324,38,79
1550444523,39,27
1550445723,29,43
1550446922,29,65
1550448124,41,0
1550449323,35,118
1550449923,45,0
1550450522,39,0
1550451724,38,100
1550452322,36,40
1550452922,34,0
1550454123,32,124
1550455322,34,0
1550456523,33,70
1550457123,46,42
1550457723,40,0
1550458323,36,35
1550458923,37,84
1550459522,42,0
1550460123,40,35
1550460723,36,0
1550461322,33,0
1550462523,44,66
1550463123,42,35
1550463723,27,0
1550464922,40,67
1550466123,37,69
1550467323,49,40
1550467923,39,34
1550468523,25,37
1550469724,31,0
1550470922,31,107
1550471523,39,27
1550472123,34,0
1550473323,26,82
1550473923,34,0
1550474523,42,40
1550475123,34,49
1550475723,41,0
1550476323,34,84
1550476923,49,37
1550477523,30,0
1550478124,32,70
1550478722,34,0
1550479323,33,0
1550480523,76,66
1550481722,44,33
1550482323,35,31
1550482923,49,28
1550484123,44,40
1550484723,29,49
1550485322,29,76
1550486522,35,34
1550487722,37,39
1550488323,26,0
1550488922,41,0
1550489524,40,43
1550490123,33,72
1550490723,35,0
1550491323,57,0
1550491922,43,42
1550492523,60,0
1550493122,57,35
1550493722,48,70
1550494923,44,29
1550496123,47,71
1550497323,45,81
1550498522,38,42
1550499122,45,0
1550499723,51,0
1550500923,49,35
1550502123,53,40
1550503324,39,45
1550504522,34,110
1550506923,49,41
1550507522,46,33
1550508124,50,41
1550509323,46,0
1550510523,35,77
1550511723,37,72
1550512923,34,41
1550514123,47,27
1550514724,41,70
1550515324,34,42
1550516522,39,0
1550517723,35,41
1550518323,39,40
1550518923,37,0
1550520124,39,71
1550520724,51,35
1550521324,37,28
1550521923,42,0
1550522523,43,37
1550523123,47,49
1550523723,46,0
1550524323,37,41
1550524923,52,61
1550526123,37,0
1550527325,31,135
1550528523,45,37
1550529723,44,0
1550530322,47,45
1550530923,32,0
1550532123,36,79
1550533324,36,0
1550534524,32,80
1550535123,37,0
1550535723,39,0
1550536323,33,71
1550536923,47,44
1550538123,38,0
1550538724,28,37
1550539323,45,27
1550540523,41,73
1550541724,41,29
1550542323,39,0
1550542923,38,0
1550543523,44,32
1550544123,32,89
1550545324,42,49
1550545923,37,47
1550546523,46,36
1550547724,45,121
1550548322,53,0
1550548923,38,0
1550550123,49,122
1550551324,41,34
1550552524,35,0
1550553723,38,74
1550554923,46,37
1550556122,36,80
1550557323,33,0
1550558523,37,80
1550559723,41,38
1550560922,38,82
1550562123,38,140
1550563323,39,44
1550563923,26,57
1550564522,44,73
1550565723,41,86
1550566924,50,55
1550567524,41,0
1550568124,42,0
1550568723,59,36
1550569323,44,80
1550570523,43,38
1550571123,40,51
1550571722,47,0
1550572922,44,34
1550574123,38,40
1550574724,42,47
1550575323,47,80
1550576523,41,83
1550577722,33,39
1550578323,45,42
1550578922,40,88
1550579522,41,44
1550580123,42,0
1550581323,42,81
1550581922,42,0
1550582523,41,35
1550583723,44,44
1550584922,39,0
1550586123,42,111
1550587323,33,35
1550588523,36,52
1550589723,37,44
1550590322,41,0
1550590925,42,39
1550591525,46,0
1550592124,27,0
1550592723,43,0
1550593324,60,0
1550593923,35,35
1550594523,44,31
1550595123,36,40
1550595723,37,47
1550596923,38,0
1550598123,37,79
1550598723,45,0
1550599323,41,0
1550599924,59,45
1550600523,32,43
1550601123,52,0
1550601724,45,42
1550602323,35,37
1550602923,35,38
1550603523,39,0
1550604123,56,0
1550604723,40,42
1550605323,36,30
1550606524,42,33
1550607124,43,72
1550607723,51,0
1550608923,47,91
1550610123,39,86
1550610724,29,84
1550611324,41,0
1550611923,36,39
1550612523,28,38
1550613723,41,43
1550614323,36,0
1550614924,37,0
1550615522,40,50
1550616122,36,0
1550616723,22,32
1550617322,39,67
1550618522,43,0
1550619122,44,25
1550619723,31,37
1550620924,44,34
1550621524,41,0
1550622123,44,78
1550623323,52,34
1550623923,35,38
1550624523,50,0
1550625723,29,127
1550626323,34,0
1550626923,42,0
1550627523,36,32
1550628124,46,0
1550628724,36,31
1550629322,46,86
1550630522,34,68
1550631124,48,0
1550631723,36,30
1550632923,45,84
1550633523,33,0
1550634122,37,41
1550634723,40,0
1550635323,43,40
1550635922,38,42
1550636522,45,39
1550637123,32,0
1550637723,31,0
1550638322,47,30
1550638924,30,33
1550639524,33,0
1550640123,35,0
1550640722,42,49
1550641323,47,0
1550642523,31,43
1550643122,32,54
1550643723,41,39
1550644324,40,0
1550644924,47,43
1550645523,40,0
1550646123,36,37
1550647323,33,0
1550647922,34,30
1550648522,37,0
1550649722,33,65
1550650324,46,30
1550650923,36,0
1550651523,43,37
1550652123,24,40
1550653324,36,0
1550653923,35,76
1550654523,37,44
1550655123,44,35
1550655723,35,0
1550656922,47,34
1550657523,38,25
1550658124,45,59
1550659323,42,0
1550660523,42,39
1550661723,30,69
1550662924,35,35
1550663523,40,34
1550664123,40,0
1550664723,48,81
1550665322,32,37
1550666524,37,39
1550667123,31,34
1550667723,48,0
1550668323,45,36
1550668923,40,42
1550670122,28,27
1550670722,37,44
1550671324,34,34
1550671922,36,0
1550672523,38,39
1550673723,43,0
1550674924,45,74
1550675523,33,0
1550676123,27,0
1550676722,44,38
1550677323,36,65
1550677923,37,0
1550678523,34,32
1550679724,38,139
1550680323,65,0
1550680923,42,0
1550681523,43,78
1550682124,45,29
1550682723,41,0
1550683323,39,40
1550683923,31,0
1550684523,31,0
1550685723,22,120
1550686323,45,0
1550686923,47,46
1550687522,45,88
1550688124,39,41
1550688723,43,0
1550689323,23,23
1550690523,40,107
1550691123,44,32
1550691723,32,0
1550692923,30,62
1550694124,38,40
1550695323,31,88
1550696523,34,34
1550697123,38,0
1550697722,39,30
1550698322,67,39
1550698923,30,62
1550700123,36,0
1550700723,44,85
1550701323,41,0
1550701924,30,80
1550702524,43,34
1550703722,39,25
1550704923,35,59
1550705523,44,0
1550706123,31,45
1550707324,29,60
1550707923,30,42
1550708523,29,36
1550709123,29,0
1550709724,35,0
1550710323,36,41
1550710923,29,81
1550712123,34,0
1550712723,28,70
1550713323,31,0
1550714524,41,119
1550715723,46,35
1550716323,27,49
1550716924,36,0
1550717523,32,96
1550718123,31,40
1550718724,33,0
1550719323,43,0
1550719923,47,64
1550720523,30,0
1550721123,40,72
1550721723,46,34
1550722924,44,47
1550723522,31,31
1550724123,27,61
1550725323,45,36
1550726523,51,70
1550727123,44,33
1550727723,34,47
1550728923,39,74
1550730123,35,38
1550730723,34,41
1550731322,38,36
1550732524,40,79
1550733723,32,83
1550734923,46,36
1550736123,41,47
1550737323,36,137
1550737922,35,0
1550738523,40,48
1550739724,44,77
1550740323,40,0
1550740923,41,71
1550741523,59,0
1550742122,33,39
1550743323,25,74
1550744523,44,41
1550745723,40,38
1550746923,43,87
1550748122,26,41
1550749323,55,0
1550750523,30,119
1550751724,53,46
1550752923,44,72
1550754123,39,32
1550755323,31,87
1550756524,41,107
1550757123,46,47
1550757724,46,0
1550758923,51,84
1550759524,42,45
1550760123,35,44
1550760723,34,0
1550761324,52,39
1550761923,33,0
1550762523,37,69
1550763722,40,27
1550764924,37,75
1550765525,35,39
1550766123,25,0
1550767323,44,110
1550768523,43,79
1550769123,28,39
1550769723,45,81
1550770323,35,39
1550770923,42,40
1550772124,38,41
1550773323,32,37
1550774523,43,131
1550775123,43,49
1550775725,38,0
1550776922,44,91
1550778123,24,71
1550779323,30,0
1550780523,39,95
1550781123,34,0
1550781724,29,38
1550782923,34,0
1550783523,43,39
1550784124,30,39
1550785322,41,108
1550786523,37,64
1550787723,31,89
1550788323,42,0
1550788923,36,41
1550790123,53,34
1550792522,39,160
1550793724,31,0
1550794923,25,76
1550796123,41,121
1550796723,56,38
1550797324,41,0
1550798523,25,46
1550799723,34,130
1550800923,31,0
1550802123,48,107
1550802723,42,0
1550803324,51,44
1550803923,43,78
1550804523,39,0
1550805725,40,117
1550806923,42,47
1550808123,34,85
1550808722,47,43
1550809322,38,0
1550809923,36,53
1550810523,41,101
1550811124,42,0
1550811722,44,0
1550812323,37,37
1550812923,44,0
1550813523,44,85
1550814123,44,49
1550814724,39,0
