DateTime,AddedIPs,RemovedIPs
1550345523,0,2
1550346722,6,12
1550347323,7,4
1550348523,7,0
1550349722,13,24
1550350323,3,0
1550350923,1,0
1550352123,2,7
1550352723,1,0
1550353322,1,0
1550354523,0,7
1550355723,3,0
1550356323,7,6
1550356922,1,0
1550358123,9,9
1550358723,6,0
1550359322,12,6
1550360523,15,0
1550361723,8,0
1550362923,4,9
1550364123,3,1
1550365323,24,15
1550366524,9,57
1550367723,17,2
1550368923,12,17
1550369523,12,13
1550370122,13,4
1550371322,5,1
1550372522,7,0
1550373723,1,14
1550374923,5,19
1550375522,1,2
1550376122,0,19
1550376723,1,0
1550377923,6,19
1550378522,0,6
1550379723,4,6
1550380923,40,15
1550381523,4,0
1550382123,2,0
1550383323,0,7
1550385122,0,2
1550385723,1,10
1550386923,3,0
1550388123,43,24
1550388723,3,1
1550389323,1,10
1550389922,3,11
1550390524,1,0
1550391723,5,1
1550392922,5,1
1550394123,1,0
1550395323,2,0
1550395922,11,0
1550396523,1,0
1550397723,3,28
1550398923,4,0
1550399522,0,7
1550400123,5,0
1550401322,13,7
1550402522,6,2
1550403722,0,5
1550404922,0,2
1550406122,2,2
1550407322,0,8
1550407923,2,5
1550408522,4,0
1550409723,12,5
1550410323,0,2
1550410923,9,0
1550412123,17,28
1550412724,11,0
1550413322,5,0
1550414522,3,24
1550415723,21,0
1550416923,11,11
1550418122,3,0
1550419323,9,30
1550420523,19,17
1550421722,4,0
1550422923,0,12
1550424123,4,24
1550425322,6,0
1550425924,6,8
1550426523,6,9
1550427722,0,1
1550428324,0,2
1550428923,2,0
1550430123,1,4
1550431322,2,5
1550432523,1,2
1550433723,1,12
1550434923,11,17
1550436123,45,21
1550437322,2,2
1550438523,4,2
1550439723,0,9
1550440922,1,0
1550442123,12,8
1550443323,9,13
1550444523,13,22
1550445723,3,3
1550446922,15,17
1550448124,3,0
1550448723,2,2
1550449323,5,0
1550450522,4,10
1550451723,16,6
1550452322,4,0
1550452922,4,0
1550453524,11,14
1550454123,3,5
1550455322,7,5
1550456522,14,13
1550457723,8,0
1550458923,15,12
1550459522,1,5
1550460122,1,12
1550462523,1,16
1550463723,0,4
1550464922,5,7
1550465522,15,19
