DateTime,AddedIPs,RemovedIPs
1548795781,2,0
1548799380,1,1
1548802985,0,1
1548806581,1,0
1548810180,1,0
1548813782,1,1
1548817384,2,3
1548820981,1,0
1548824582,1,2
1548828184,2,4
1548831784,4,0
1548839232,0,4
1548842587,5,0
1548846127,1,1
1548849787,0,4
1548853392,2,0
1548856988,2,1
1548860592,0,1
1548867793,3,2
1548871333,2,0
1548875049,1,1
1548878587,2,0
1548882127,0,4
1548885792,3,0
1548892989,1,2
1548896589,2,0
1548900129,0,1
1548907389,3,2
1548910988,4,0
1548914589,1,3
1548918191,5,5
1548921789,1,1
1548928990,2,1
1548932588,4,0
1548943389,2,1
1548946989,1,0
1548950591,0,2
1548954193,2,2
1548957788,0,3
1548961392,2,0
1548964928,1,1
1548968589,3,3
1548975789,1,0
1548979388,1,4
1548982989,2,0
1548986594,12,1
1548990189,2,0
1548993789,3,0
1548997395,0,4
1549000990,3,5
1549004594,3,0
1549008189,1,0
1549011790,1,0
1549015390,0,6
1549018993,5,2
1549022594,1,0
1549026192,4,0
1549029789,5,1
1549033389,5,2
1549040589,4,4
1549044192,1,0
1549047792,3,2
1549051393,1,0
1549054993,3,5
1549058591,1,0
1549061650,0,2
1549065731,2,1
1549069330,2,0
1549072991,2,3
1549076650,2,0
1549080190,1,3
1549083790,2,1
1549087391,1,3
1549090931,1,2
1549094590,2,0
1549098192,1,2
1549105390,1,0
1549108931,1,6
1549112532,3,0
1549116190,2,0
1549119791,2,0
1549123391,1,3
1549130591,2,4
1549134190,4,0
1549137731,2,2
1549141391,2,2
1549148531,4,0
1549152192,0,2
1549159391,0,1
1549162992,4,2
1549166592,3,1
1549170195,1,3
1549173792,4,0
1549177391,3,1
1549180991,4,0
1549184591,1,0
1549188193,0,1
1549191738,2,0
1549195393,1,2
1549198992,2,5
1549202532,1,0
1549206132,1,3
1549209792,0,2
1549213392,4,6
1549216992,4,2
1549220592,0,3
1549224192,1,0
1549227792,2,4
1549231392,5,1
1549234992,0,3
1549238592,11,0
1549242193,3,4
1549245792,2,0
1549249392,2,4
1549256592,3,2
1549260193,1,5
1549263793,4,2
1549267332,1,0
1549270993,0,2
1549274593,4,0
1549278193,3,5
1549285392,1,1
1549288992,1,0
1549292533,2,0
1549296133,2,2
